,iter,drug,tissue,model,feature,BIC,acc,tp,tn,fp,fn,roc_auc,brier,log_loss
0,0,Atezo,KIRC,LR,IMPRES,3.510188469469484,0.5588235294117647,5,14,10,5,0.4979166666666667,0.2514062752026692,0.6959666805526408
1,1,Atezo,KIRC,LR,IMPRES,3.504132183475825,0.5,0,17,7,10,0.26458333333333334,0.25039514778108624,0.6939374869319833
2,2,Atezo,KIRC,LR,IMPRES,3.508701262066177,0.5588235294117647,4,15,9,6,0.4791666666666667,0.2503958045280722,0.69393839567011
3,3,Atezo,KIRC,LR,IMPRES,3.5095234061309064,0.5882352941176471,2,18,6,8,0.47708333333333336,0.24993592355439298,0.6930211739605897
4,4,Atezo,KIRC,LR,IMPRES,3.5077127977023066,0.47058823529411764,2,14,10,8,0.49583333333333335,0.2510717861964989,0.6952919743044252
5,5,Atezo,KIRC,LR,IMPRES,3.5057707180382947,0.5294117647058824,3,15,9,7,0.5458333333333333,0.24961478388852743,0.6923763382260901
6,6,Atezo,KIRC,LR,IMPRES,3.5053162268051894,0.4411764705882353,9,6,18,1,0.6145833333333333,0.24990689080085335,0.6929611048944944
7,7,Atezo,KIRC,LR,IMPRES,3.508224354162209,0.5882352941176471,3,17,7,7,0.48958333333333337,0.24835913794391828,0.689858680880109
8,8,Atezo,KIRC,LR,IMPRES,3.5137065125640823,0.5588235294117647,2,17,7,8,0.4145833333333333,0.2512209332990562,0.6956054538551432
9,9,Atezo,KIRC,LR,IMPRES,3.50746758910942,0.5,3,14,10,7,0.4979166666666667,0.25078228470121955,0.6947125164976267
10,10,Atezo,KIRC,LR,IMPRES,3.504708071993006,0.5588235294117647,2,17,7,8,0.5958333333333333,0.24886296068929306,0.6908728772890567
11,11,Atezo,KIRC,LR,IMPRES,3.5075564706698668,0.5882352941176471,4,16,8,6,0.5270833333333333,0.24893103569141384,0.6910053212192733
12,12,Atezo,KIRC,LR,IMPRES,3.5045879183373607,0.5882352941176471,4,16,8,6,0.6020833333333334,0.2485770915798629,0.6903009259908572
13,13,Atezo,KIRC,LR,IMPRES,3.50621895963846,0.4411764705882353,8,7,17,2,0.5333333333333333,0.2501334892643509,0.6934126751440792
14,14,Atezo,KIRC,LR,IMPRES,3.50755990660137,0.47058823529411764,3,13,11,7,0.46875,0.25081964168927984,0.6947866300817378
15,15,Atezo,KIRC,LR,IMPRES,3.5050891791420833,0.6176470588235294,4,17,7,6,0.5875,0.24902908966129775,0.6912050960071598
16,16,Atezo,KIRC,LR,IMPRES,3.5084137257864505,0.47058823529411764,9,7,17,1,0.4625,0.25206513608955267,0.697278832472372
