,iter,drug,tissue,model,feature,BIC,train_size,acc,tp,tn,fp,fn,roc_auc,brier,log_loss
0,0,crizotinib,LUAD,LR,TARGET,6.147897643389547,0.7,0.6111111111111112,0,11,2,5,0.13846153846153847,0.2532562384490373,0.7000676664391966
1,1,crizotinib,LUAD,LR,TARGET,6.090785953985383,0.7,0.6666666666666666,3,9,4,2,0.6307692307692306,0.24811288326963524,0.6893712553157325
2,2,crizotinib,LUAD,LR,TARGET,6.106766135549174,0.7,0.2777777777777778,3,2,11,2,0.29230769230769227,0.3194787824400853,0.8532544399698869
3,3,crizotinib,LUAD,LR,TARGET,6.139264058202635,0.7,0.5,1,8,5,4,0.6000000000000001,0.2551729776993479,0.7092260200838632
4,4,crizotinib,LUAD,LR,TARGET,6.103214244777535,0.7,0.16666666666666666,1,2,11,4,0.2,0.29057517554258455,0.7799388913255426
5,5,crizotinib,LUAD,LR,TARGET,6.217948977971287,0.7,0.3888888888888889,1,6,7,4,0.27692307692307694,0.2990273025375906,0.7980136877097197
6,6,crizotinib,LUAD,LR,TARGET,6.10755130636719,0.7,0.5555555555555556,1,9,4,4,0.4461538461538461,0.2505735924570925,0.6943030851801213
7,7,crizotinib,LUAD,LR,TARGET,6.135760862498028,0.7,0.6111111111111112,1,10,3,4,0.5384615384615385,0.24793399793369708,0.6890422781657682
8,8,crizotinib,LUAD,LR,TARGET,6.092388771992573,0.7,0.5,2,7,6,3,0.6153846153846154,0.24813331143554673,0.6894097256459237
9,9,crizotinib,LUAD,LR,TARGET,6.11745147409231,0.7,0.16666666666666666,0,3,10,5,0.06153846153846152,0.30451182171456914,0.8188248116780957
10,10,crizotinib,LUAD,LR,TARGET,6.093882015442,0.7,0.3888888888888889,3,4,9,2,0.46153846153846156,0.24992231214294444,0.6929885091242094
11,11,crizotinib,LUAD,LR,TARGET,6.1047135357332,0.7,0.5555555555555556,0,10,3,5,0.46153846153846156,0.24968845430411626,0.6925241163575797
12,12,crizotinib,LUAD,LR,TARGET,6.231724731536071,0.7,0.5555555555555556,1,9,4,4,0.2923076923076923,0.2907410993230418,0.7916265499949103
13,13,crizotinib,LUAD,LR,TARGET,6.123839147926276,0.7,0.5555555555555556,0,10,3,5,0.5076923076923077,0.24675137755767984,0.6866457921168638
14,14,crizotinib,LUAD,LR,TARGET,6.100963008083809,0.7,0.6111111111111112,0,11,2,5,0.6307692307692307,0.24871260362213343,0.6905725086325524
15,15,crizotinib,LUAD,LR,TARGET,6.196076470741623,0.7,0.6666666666666666,1,11,2,4,0.5076923076923077,0.26434066906732956,0.7379067939878081
16,16,crizotinib,LUAD,LR,TARGET,6.102185575341682,0.7,0.5555555555555556,1,9,4,4,0.36923076923076925,0.2504798357040004,0.6941089006155358
17,17,crizotinib,LUAD,LR,TARGET,6.184554053316596,0.7,0.6666666666666666,0,12,1,5,0.4461538461538461,0.25452571903690313,0.7092598210381523
18,18,crizotinib,LUAD,LR,TARGET,6.103540572850008,0.7,0.6111111111111112,0,11,2,5,0.2615384615384615,0.24868213696889166,0.6905108527947039
19,19,crizotinib,LUAD,LR,TARGET,6.099120589561587,0.7,0.5555555555555556,1,9,4,4,0.6307692307692307,0.24854012417197577,0.6902272677574525
