,iter,drug,tissue,model,penalty,preproc,balance_weights,feature,feat_dim,acc,tp,tn,fp,fn,roc_auc,brier,log_loss
0,0,Atezo,BLCA,LR,0.01,standardize,True,TARGET,1,0.6333333333333333,8,30,16,6,0.6599378881987578,0.24796061620935736,0.6890676507358365
1,1,Atezo,BLCA,LR,0.01,standardize,True,TARGET,1,0.55,8,25,21,6,0.6444099378881987,0.24826713093371647,0.6896805386192375
2,2,Atezo,BLCA,LR,0.01,standardize,True,TARGET,1,0.5666666666666667,9,25,21,5,0.6381987577639752,0.2484062819931613,0.689958875451563
3,3,Atezo,BLCA,LR,0.01,standardize,True,TARGET,1,0.6,8,28,18,6,0.5760869565217391,0.24824487522540442,0.6896362538404424
4,4,Atezo,BLCA,LR,0.01,standardize,True,TARGET,1,0.6166666666666667,7,30,16,7,0.562111801242236,0.2477331585667818,0.6886117686163169
5,5,Atezo,BLCA,LR,0.01,standardize,True,TARGET,1,0.5333333333333333,8,24,22,6,0.5854037267080745,0.2489301072682637,0.6910081835114034
6,6,Atezo,BLCA,LR,0.01,standardize,True,TARGET,1,0.5333333333333333,5,27,19,9,0.5124223602484472,0.24914652331681889,0.6914396595073964
7,7,Atezo,BLCA,LR,0.01,standardize,True,TARGET,1,0.55,5,28,18,9,0.5031055900621118,0.2468702130603396,0.6868818019174456
8,8,Atezo,BLCA,LR,0.01,standardize,True,TARGET,1,0.6333333333333333,9,29,17,5,0.6024844720496895,0.24883925916613156,0.6908268931692189
9,9,Atezo,BLCA,LR,0.01,standardize,True,TARGET,1,0.6666666666666666,5,35,11,9,0.7127329192546584,0.24670265907656602,0.6865512842198093
10,0,Atezo,BLCA,LR,0.01,standardize,False,TARGET,1,0.7666666666666667,0,46,0,14,0.2546583850931677,0.17900569350229312,0.5436049796442343
11,1,Atezo,BLCA,LR,0.01,standardize,False,TARGET,1,0.7666666666666667,0,46,0,14,0.6180124223602486,0.17808144230474035,0.5409706362839322
12,2,Atezo,BLCA,LR,0.01,standardize,False,TARGET,1,0.7666666666666667,0,46,0,14,0.5962732919254659,0.17824352262906626,0.5413789080909679
13,3,Atezo,BLCA,LR,0.01,standardize,False,TARGET,1,0.7666666666666667,0,46,0,14,0.45962732919254656,0.17978841509760857,0.5456598775261876
14,4,Atezo,BLCA,LR,0.01,standardize,False,TARGET,1,0.7666666666666667,0,46,0,14,0.6366459627329193,0.17810766477881548,0.5410485460132883
15,5,Atezo,BLCA,LR,0.01,standardize,False,TARGET,1,0.7666666666666667,0,46,0,14,0.6816770186335404,0.17803708201117419,0.5408144551136974
16,6,Atezo,BLCA,LR,0.01,standardize,False,TARGET,1,0.7666666666666667,0,46,0,14,0.5962732919254659,0.17814265181546174,0.5410993116268035
17,7,Atezo,BLCA,LR,0.01,standardize,False,TARGET,1,0.7666666666666667,0,46,0,14,0.6723602484472049,0.1780824157204399,0.5409618781325444
18,8,Atezo,BLCA,LR,0.01,standardize,False,TARGET,1,0.7666666666666667,0,46,0,14,0.5822981366459627,0.1781885873195783,0.5412756983461163
19,9,Atezo,BLCA,LR,0.01,standardize,False,TARGET,1,0.7666666666666667,0,46,0,14,0.6661490683229815,0.17799419146242648,0.5407006787707619
20,0,Atezo,BLCA,LR,0.01,standardize,True,IMPRES,1,0.35,9,12,34,5,0.46816770186335405,0.25314924278488066,0.6994572371716526
21,1,Atezo,BLCA,LR,0.01,standardize,True,IMPRES,1,0.5,9,21,25,5,0.5776397515527951,0.24700241022650107,0.6871395020442529
22,2,Atezo,BLCA,LR,0.01,standardize,True,IMPRES,1,0.43333333333333335,8,18,28,6,0.5077639751552795,0.2483782866307861,0.6898566477224305
