,iter,drug,tissue,model,penalty,preproc,balance_weights,feature,feat_dim,acc,tp,tn,fp,fn,roc_auc,brier,log_loss
0,0,Atezo,BLCA,LR,0.01,standardize,True,TARGET,1,0.5166666666666667,6,25,21,8,0.43012422360248453,0.25252018578954316,0.6982069883159544
1,1,Atezo,BLCA,LR,0.01,standardize,True,TARGET,1,0.45,5,22,24,9,0.37577639751552794,0.25814180471430703,0.7095027042405988
2,2,Atezo,BLCA,LR,0.01,standardize,True,TARGET,1,0.6833333333333333,10,31,15,4,0.7018633540372671,0.2480598402118156,0.6892669186563947
3,3,Atezo,BLCA,LR,0.01,standardize,True,TARGET,1,0.4666666666666667,7,21,25,7,0.4875776397515528,0.25171898206720694,0.6965933874479333
4,4,Atezo,BLCA,LR,0.01,standardize,True,TARGET,1,0.48333333333333334,6,23,23,8,0.5031055900621118,0.2511050536901205,0.6953715607936324
5,5,Atezo,BLCA,LR,0.01,standardize,True,TARGET,1,0.55,6,27,19,8,0.6024844720496895,0.2471382424237615,0.6874217250266957
6,6,Atezo,BLCA,LR,0.01,standardize,True,TARGET,1,0.48333333333333334,4,25,21,10,0.4316770186335404,0.24938598975286863,0.6919095678718813
7,7,Atezo,BLCA,LR,0.01,standardize,True,TARGET,1,0.5833333333333334,10,25,21,4,0.6180124223602484,0.24968896313133682,0.6925308097432852
8,8,Atezo,BLCA,LR,0.01,standardize,True,TARGET,1,0.55,5,28,18,9,0.517080745341615,0.24901349794093644,0.6911763450704408
9,9,Atezo,BLCA,LR,0.01,standardize,True,TARGET,1,0.6166666666666667,6,31,15,8,0.6195652173913043,0.24753689932166548,0.6882197136827458
10,0,Atezo,BLCA,LR,0.01,standardize,False,TARGET,1,0.7666666666666667,0,46,0,14,0.734472049689441,0.17821930172914963,0.5413580875595636
11,1,Atezo,BLCA,LR,0.01,standardize,False,TARGET,1,0.7666666666666667,0,46,0,14,0.15062111801242237,0.18034738583826057,0.5474340010898652
12,2,Atezo,BLCA,LR,0.01,standardize,False,TARGET,1,0.7666666666666667,0,46,0,14,0.5838509316770186,0.17830477428514033,0.5415856949926205
13,3,Atezo,BLCA,LR,0.01,standardize,False,TARGET,1,0.7666666666666667,0,46,0,14,0.6195652173913043,0.17811998058090506,0.5410527706245705
14,4,Atezo,BLCA,LR,0.01,standardize,False,TARGET,1,0.7666666666666667,0,46,0,14,0.6133540372670807,0.17804371989836204,0.5408428158917371
15,5,Atezo,BLCA,LR,0.01,standardize,False,TARGET,1,0.7666666666666667,0,46,0,14,0.5543478260869565,0.1784533557623976,0.5419871651919804
16,6,Atezo,BLCA,LR,0.01,standardize,False,TARGET,1,0.7666666666666667,0,46,0,14,0.42857142857142855,0.18036631499028896,0.5472159234928683
17,7,Atezo,BLCA,LR,0.01,standardize,False,TARGET,1,0.7666666666666667,0,46,0,14,0.5698757763975155,0.17849818413576438,0.5420769020313653
18,8,Atezo,BLCA,LR,0.01,standardize,False,TARGET,1,0.7666666666666667,0,46,0,14,0.4130434782608695,0.18023374103076228,0.5471534753023098
19,9,Atezo,BLCA,LR,0.01,standardize,False,TARGET,1,0.7666666666666667,0,46,0,14,0.5295031055900621,0.17887688304167412,0.5431533507965728
20,0,Atezo,BLCA,LR,0.01,standardize,True,IMPRES,1,0.38333333333333336,9,14,32,5,0.5085403726708074,0.250590747959781,0.6943275799737327
21,1,Atezo,BLCA,LR,0.01,standardize,True,IMPRES,1,0.38333333333333336,6,17,29,8,0.44177018633540366,0.2524757132374168,0.6980935443388745
22,2,Atezo,BLCA,LR,0.01,standardize,True,IMPRES,1,0.4166666666666667,7,18,28,7,0.5015527950310559,0.24794832100471556,0.6890275746683827
23,3,Atezo,BLCA,LR,0.01,standardize,True,IMPRES,1,0.5333333333333333,9,23,23,5,0.5916149068322982,0.24345426385854957,0.6799919508503799
24,4,Atezo,BLCA,LR,0.01,standardize,True,IMPRES,1,0.43333333333333335,7,19,27,7,0.4743788819875776,0.2489385047152429,0.6909978014893792
25,5,Atezo,BLCA,LR,0.01,standardize,True,IMPRES,1,0.4666666666666667,10,18,28,4,0.5815217391304347,0.24762789466714255,0.6883888277952127
26,6,Atezo,BLCA,LR,0.01,standardize,True,IMPRES,1,0.4666666666666667,9,19,27,5,0.5434782608695653,0.24555775830599857,0.6842062869108354
27,7,Atezo,BLCA,LR,0.01,standardize,True,IMPRES,1,0.4666666666666667,8,20,26,6,0.46118012422360244,0.24774857442648185,0.6885935755026726
28,8,Atezo,BLCA,LR,0.01,standardize,True,IMPRES,1,0.43333333333333335,6,20,26,8,0.5186335403726708,0.2480854494216595,0.6892973840045155
29,9,Atezo,BLCA,LR,0.01,standardize,True,IMPRES,1,0.4666666666666667,8,20,26,6,0.53027950310559,0.24469935517876096,0.6824885891068587
30,0,Atezo,BLCA,LR,0.01,standardize,False,IMPRES,1,0.7666666666666667,0,46,0,14,0.6521739130434783,0.17670115680941906,0.5368398667314861
31,1,Atezo,BLCA,LR,0.01,standardize,False,IMPRES,1,0.7666666666666667,0,46,0,14,0.5722049689440993,0.17761190088315684,0.5395257988314595
32,2,Atezo,BLCA,LR,0.01,standardize,False,IMPRES,1,0.7666666666666667,0,46,0,14,0.5559006211180124,0.1780226940860881,0.5408088852527898
33,3,Atezo,BLCA,LR,0.01,standardize,False,IMPRES,1,0.7666666666666667,0,46,0,14,0.5186335403726708,0.1789695968197091,0.5434413984738264
34,4,Atezo,BLCA,LR,0.01,standardize,False,IMPRES,1,0.7666666666666667,0,46,0,14,0.6560559006211181,0.17682082263977708,0.5373841104355154
35,5,Atezo,BLCA,LR,0.01,standardize,False,IMPRES,1,0.7666666666666667,0,46,0,14,0.6055900621118012,0.17723559029962932,0.5384072930556638
36,6,Atezo,BLCA,LR,0.01,standardize,False,IMPRES,1,0.7666666666666667,0,46,0,14,0.5993788819875776,0.177192312313486,0.5385468612038928
37,7,Atezo,BLCA,LR,0.01,standardize,False,IMPRES,1,0.7666666666666667,0,46,0,14,0.6374223602484472,0.17692532952614384,0.5377953759140761
38,8,Atezo,BLCA,LR,0.01,standardize,False,IMPRES,1,0.7666666666666667,0,46,0,14,0.6149068322981366,0.17724937401618293,0.538481383957556
39,9,Atezo,BLCA,LR,0.01,standardize,False,IMPRES,1,0.7666666666666667,0,46,0,14,0.6389751552795031,0.17705413815410534,0.5380475657633043
40,0,Atezo,BLCA,LR,0.01,standardize,True,MIRACLE,1,0.5,6,24,22,8,0.5357142857142857,0.25055624747148386,0.6942863436989767
41,1,Atezo,BLCA,LR,0.01,standardize,True,MIRACLE,1,0.6166666666666667,7,30,16,7,0.5729813664596274,0.2481126578437863,0.6893806205531783
42,2,Atezo,BLCA,LR,0.01,standardize,True,MIRACLE,1,0.5333333333333333,9,23,23,5,0.59472049689441,0.2503969776376212,0.693967020325885
43,3,Atezo,BLCA,LR,0.01,standardize,True,MIRACLE,1,0.5666666666666667,7,27,19,7,0.5822981366459627,0.24911541085535602,0.6913943233013955
44,4,Atezo,BLCA,LR,0.01,standardize,True,MIRACLE,1,0.5833333333333334,4,31,15,10,0.4472049689440994,0.24761906304731296,0.6883829902953476
45,5,Atezo,BLCA,LR,0.01,standardize,True,MIRACLE,1,0.55,6,27,19,8,0.5667701863354038,0.24847101782778858,0.6901065974300974
46,6,Atezo,BLCA,LR,0.01,standardize,True,MIRACLE,1,0.5666666666666667,8,26,20,6,0.5807453416149069,0.24857495984344746,0.6902928245637295
47,7,Atezo,BLCA,LR,0.01,standardize,True,MIRACLE,1,0.6,5,31,15,9,0.5636645962732919,0.2480524865807504,0.6893142790903645
48,8,Atezo,BLCA,LR,0.01,standardize,True,MIRACLE,1,0.4666666666666667,6,22,24,8,0.47981366459627334,0.25152860194277726,0.6962753600474637
49,9,Atezo,BLCA,LR,0.01,standardize,True,MIRACLE,1,0.6,7,29,17,7,0.6040372670807455,0.24747757568448045,0.688106317971894
50,0,Atezo,BLCA,LR,0.01,standardize,False,MIRACLE,1,0.7666666666666667,0,46,0,14,0.47360248447204967,0.18082473979906144,0.5484759386560848
51,1,Atezo,BLCA,LR,0.01,standardize,False,MIRACLE,1,0.7666666666666667,0,46,0,14,0.42236024844720493,0.18036842005471554,0.5476244929263824
52,2,Atezo,BLCA,LR,0.01,standardize,False,MIRACLE,1,0.7666666666666667,0,46,0,14,0.610248447204969,0.17823055839061236,0.54116082539565
53,3,Atezo,BLCA,LR,0.01,standardize,False,MIRACLE,1,0.7666666666666667,0,46,0,14,0.6599378881987578,0.17768886356348557,0.5398701090570496
54,4,Atezo,BLCA,LR,0.01,standardize,False,MIRACLE,1,0.7666666666666667,0,46,0,14,0.5015527950310559,0.1794058229234108,0.5447098552524189
55,5,Atezo,BLCA,LR,0.01,standardize,False,MIRACLE,1,0.7666666666666667,0,46,0,14,0.234472049689441,0.17893138336225373,0.5433931306337508
56,6,Atezo,BLCA,LR,0.01,standardize,False,MIRACLE,1,0.7666666666666667,0,46,0,14,0.687888198757764,0.17779029193845858,0.5400549910448578
57,7,Atezo,BLCA,LR,0.01,standardize,False,MIRACLE,1,0.7666666666666667,0,46,0,14,0.5776397515527951,0.1778920759009764,0.5404501158546673
58,8,Atezo,BLCA,LR,0.01,standardize,False,MIRACLE,1,0.7666666666666667,0,46,0,14,0.5201863354037267,0.17863663596852888,0.5426661000644425
59,9,Atezo,BLCA,LR,0.01,standardize,False,MIRACLE,1,0.7666666666666667,0,46,0,14,0.7732919254658386,0.1779265737185018,0.540526813487483
60,0,Atezo,BLCA,LR,0.02,standardize,True,LCC,24,0.6,10,26,20,4,0.6149068322981367,0.24200937063087558,0.6778650260116635
61,1,Atezo,BLCA,LR,0.01,standardize,True,LCC,24,0.55,8,25,21,6,0.5900621118012422,0.23804636792278697,0.6666935945482871
62,2,Atezo,BLCA,LR,0.01,standardize,True,LCC,24,0.6333333333333333,12,26,20,2,0.6537267080745341,0.23259038794512515,0.6568875572643929
63,3,Atezo,BLCA,LR,0.02,standardize,True,LCC,24,0.5333333333333333,9,23,23,5,0.593167701863354,0.24219212211923705,0.6761911640432717
64,4,Atezo,BLCA,LR,0.01,standardize,True,LCC,24,0.6,7,29,17,7,0.6118012422360248,0.23079771589431988,0.6546013489190493
65,5,Atezo,BLCA,LR,0.01,standardize,True,LCC,24,0.5666666666666667,4,30,16,10,0.6024844720496895,0.21717344483312337,0.6206895543348769
66,6,Atezo,BLCA,LR,0.01,standardize,True,LCC,24,0.6333333333333333,11,27,19,3,0.7329192546583851,0.22233842919815247,0.6339726664458483
67,7,Atezo,BLCA,LR,0.01,standardize,True,LCC,24,0.6,8,28,18,6,0.6832298136645962,0.2216980310613323,0.6309839999773578
