,feature,model,i,tissue,y_true,pred_bin,pred_prob
0,TARGET,LR,0,LUAD,0,0,0.49633729066191756
1,TARGET,LR,1,LUAD,0,1,0.5081817659422838
2,TARGET,LR,2,LUAD,0,0,0.4862791355055881
3,TARGET,LR,3,LUAD,0,0,0.49550282278592306
4,TARGET,LR,4,LUAD,1,0,0.4874869060649121
5,TARGET,LR,5,LUAD,0,0,0.45063798556197415
6,TARGET,LR,6,LUAD,1,1,0.5468098178248904
7,TARGET,LR,7,LUAD,1,0,0.4857703675094591
8,TARGET,LR,8,LUAD,1,0,0.49084188441212906
9,TARGET,LR,9,LUAD,0,0,0.4921906801599852
10,TARGET,LR,10,LUAD,0,1,0.5002542696962781
11,TARGET,LR,11,LUAD,0,1,0.5000354534783126
12,TARGET,LR,12,LUAD,1,0,0.49006673509417326
13,TARGET,LR,13,LUAD,0,0,0.4994521078138298
14,TARGET,LR,14,LUAD,0,1,0.5065796195046629
15,TARGET,LR,15,LUAD,0,0,0.49236899624086783
16,TARGET,LR,16,LUAD,0,0,0.4920482382183719
17,TARGET,LR,17,LUAD,0,1,0.5000649898498664
18,TARGET,LR,18,LUAD,1,0,0.46403821918954985
19,TARGET,LR,19,LUAD,0,0,0.49859639151217855
20,TARGET,LR,20,LUAD,0,0,0.49460184969243914
21,TARGET,LR,21,LUAD,1,0,0.4951753829634892
22,TARGET,LR,22,LUAD,0,0,0.48705146916536324
23,TARGET,LR,23,LUAD,0,0,0.4813159919067699
24,TARGET,LR,24,LUAD,0,0,0.49409986870125006
25,TARGET,LR,25,LUAD,1,0,0.494346644100524
26,TARGET,LR,26,LUAD,0,0,0.49270647500580594
27,TARGET,LR,27,LUAD,1,1,0.5007314307235078
28,TARGET,LR,28,LUAD,1,0,0.4941437328676226
29,TARGET,LR,29,LUAD,0,0,0.48645096496277895
30,TARGET,LR,30,LUAD,1,0,0.49563922374269165
31,TARGET,LR,31,LUAD,1,0,0.49257947439738753
32,TARGET,LR,32,LUAD,0,1,0.5013112773587948
33,TARGET,LR,33,LUAD,0,0,0.47476643647397626
34,TARGET,LR,34,LUAD,0,1,0.5051364661587985
35,TARGET,LR,35,LUAD,0,0,0.49374567691744176
36,TARGET,LR,36,LUAD,0,0,0.49338661351473967
