,iter,drug,tissue,model,feature,acc,bal_acc,tp,tn,fp,fn,f1,av_prec,roc_auc,pr_auc
0,0,Atezo,BLCA,LR,auslander_common,0.6714285714285714,0.5803571428571428,6,41,15,8,0.34285714285714286,0.4443314835329354,0.6632653061224489,0.4297366180981922
1,1,Atezo,BLCA,LR,auslander_common,0.5857142857142857,0.6071428571428572,9,32,24,5,0.3829787234042553,0.41166995276765356,0.7334183673469388,0.37170918478148224
2,2,Atezo,BLCA,LR,auslander_common,0.6142857142857143,0.5178571428571429,5,38,18,9,0.27027027027027023,0.3080579861122372,0.5905612244897959,0.2710482252328064
3,3,Atezo,BLCA,LR,auslander_common,0.6857142857142857,0.6160714285714286,7,41,15,7,0.3888888888888889,0.28447402801275457,0.5727040816326531,0.24970470330001765
4,4,Atezo,BLCA,LR,auslander_common,0.5714285714285714,0.4375,3,37,19,11,0.16666666666666663,0.19953085495850303,0.4119897959183673,0.17391045163204644
5,5,Atezo,BLCA,LR,auslander_common,0.6714285714285714,0.5803571428571428,6,41,15,8,0.34285714285714286,0.3385932783753459,0.6020408163265306,0.3001057515437668
6,6,Atezo,BLCA,LR,auslander_common,0.6714285714285714,0.6071428571428572,7,40,16,7,0.3783783783783784,0.42969055132109046,0.6989795918367347,0.40787225447024733
7,7,Atezo,BLCA,LR,auslander_common,0.6285714285714286,0.5535714285714286,6,38,18,8,0.3157894736842105,0.28386310074226623,0.5854591836734694,0.2479470115423652
8,8,Atezo,BLCA,LR,auslander_common,0.6428571428571429,0.6160714285714286,8,37,19,6,0.3902439024390244,0.24313435689949006,0.5676020408163265,0.22077528211018024
9,9,Atezo,BLCA,LR,auslander_common,0.6428571428571429,0.5892857142857143,7,38,18,7,0.358974358974359,0.34829630340646245,0.5892857142857142,0.3282028276521487
10,10,Atezo,BLCA,LR,auslander_common,0.7,0.5714285714285714,5,44,12,9,0.3225806451612903,0.3736871446686768,0.6084183673469388,0.36023355630608656
11,11,Atezo,BLCA,LR,auslander_common,0.6285714285714286,0.5803571428571428,7,37,19,7,0.35000000000000003,0.2540481530965371,0.5599489795918366,0.2273837397662007
12,12,Atezo,BLCA,LR,auslander_common,0.6285714285714286,0.5535714285714286,6,38,18,8,0.3157894736842105,0.24436216983322617,0.5076530612244897,0.21103779392915048
13,13,Atezo,BLCA,LR,auslander_common,0.7285714285714285,0.6428571428571428,7,44,12,7,0.4242424242424242,0.40828984884895936,0.7181122448979592,0.38682908463645593
14,14,Atezo,BLCA,LR,auslander_common,0.6714285714285714,0.6607142857142858,9,38,18,5,0.43902439024390244,0.47980911438724316,0.7002551020408163,0.4639011038464792
15,15,Atezo,BLCA,LR,auslander_common,0.5285714285714286,0.4642857142857143,5,32,24,9,0.23255813953488377,0.22238560636354837,0.5051020408163265,0.19589057914549846
16,16,Atezo,BLCA,LR,auslander_common,0.7,0.6785714285714286,9,40,16,5,0.4615384615384615,0.4394947332390813,0.6938775510204083,0.41756041387521614
17,17,Atezo,BLCA,LR,auslander_common,0.6428571428571429,0.5357142857142857,5,40,16,9,0.2857142857142857,0.2155362323483649,0.4885204081632653,0.19403227586101612
18,18,Atezo,BLCA,LR,auslander_common,0.5714285714285714,0.4910714285714286,5,35,21,9,0.25,0.23182379167982223,0.5395408163265306,0.20853734961848
19,19,Atezo,BLCA,LR,auslander_common,0.6428571428571429,0.5892857142857143,7,38,18,7,0.358974358974359,0.2899158951662973,0.6339285714285715,0.2550684059078927
20,20,Atezo,BLCA,LR,auslander_common,0.6714285714285714,0.6071428571428572,7,40,16,7,0.3783783783783784,0.408884251007273,0.5778061224489796,0.3943077651682457
21,21,Atezo,BLCA,LR,auslander_common,0.6857142857142857,0.6428571428571428,8,40,16,6,0.4210526315789474,0.524721244819767,0.7704081632653061,0.5083225675315718
22,22,Atezo,BLCA,LR,auslander_common,0.6571428571428571,0.625,8,38,18,6,0.4,0.3194863123238406,0.6760204081632654,0.2832706992468386
23,23,Atezo,BLCA,LR,auslander_common,0.7,0.6785714285714286,9,40,16,5,0.4615384615384615,0.2670279500336464,0.6313775510204082,0.2457416673972585
24,24,Atezo,BLCA,LR,auslander_common,0.6571428571428571,0.5714285714285714,6,40,16,8,0.33333333333333326,0.30055476974291484,0.6441326530612246,0.26913378812714467
25,25,Atezo,BLCA,LR,auslander_common,0.6428571428571429,0.48214285714285715,3,42,14,11,0.1935483870967742,0.28603465719397,0.5331632653061225,0.26975854580298564
26,26,Atezo,BLCA,LR,auslander_common,0.6142857142857143,0.5446428571428571,6,37,19,8,0.30769230769230765,0.23048772277039573,0.5586734693877551,0.21001550460456608
27,27,Atezo,BLCA,LR,auslander_common,0.7285714285714285,0.6428571428571428,7,44,12,7,0.4242424242424242,0.35555435673193303,0.6594387755102041,0.3382708490930303
28,28,Atezo,BLCA,LR,auslander_common,0.6428571428571429,0.5625,6,39,17,8,0.3243243243243243,0.2106867177109702,0.49617346938775514,0.19037661709650922
29,29,Atezo,BLCA,LR,auslander_common,0.6714285714285714,0.6875,10,37,19,4,0.46511627906976755,0.3291070458927787,0.6900510204081632,0.292106486661151
30,30,Atezo,BLCA,LR,auslander_common,0.5428571428571428,0.4464285714285714,4,34,22,10,0.2,0.2524666150920033,0.4298469387755102,0.2386817538088812
