geneID	string_protein_id	propagate_scores
CTLA4	9606.ENSP00000497102	0.15447598528118126
CD8A	9606.ENSP00000386559	0.004784351627696253
CD4	9606.ENSP00000011653	0.004701735035505742
IFNG	9606.ENSP00000229135	0.003925647088763412
TNF	9606.ENSP00000398698	0.0036603211586079963
IL10	9606.ENSP00000412237	0.003441178829787259
IL2	9606.ENSP00000226730	0.0033989779248326498
CD28	9606.ENSP00000324890	0.0033775609479174107
PDCD1	9606.ENSP00000335062	0.0032772772365549496
IL6	9606.ENSP00000385675	0.003270323362914731
PTPRC	9606.ENSP00000411355	0.0032451404157939436
CD80	9606.ENSP00000264246	0.003190874864350514
CD274	9606.ENSP00000370989	0.0031847625745975434
ICOS	9606.ENSP00000319476	0.003066108045432835
CD27	9606.ENSP00000266557	0.003065175387219491
LAG3	9606.ENSP00000203629	0.003053228126148588
CD86	9606.ENSP00000332049	0.003053016499941333
HAVCR2	9606.ENSP00000312002	0.003046889261125733
TIGIT	9606.ENSP00000419085	0.0028452082676835525
CD40	9606.ENSP00000361359	0.002805963620267391
TNFRSF9	9606.ENSP00000478699	0.0028018983311798493
CD19	9606.ENSP00000313419	0.0027688942844341083
CD2	9606.ENSP00000358490	0.0027271007949369423
FCGR3A	9606.ENSP00000356946	0.0026920589704247174
CD40LG	9606.ENSP00000359663	0.0026868803336681465
CCR7	9606.ENSP00000246657	0.002660168435481798
FOXP3	9606.ENSP00000365380	0.0026563981090776323
IL4	9606.ENSP00000231449	0.002637870836738267
CD247	9606.ENSP00000354782	0.0025127724431454348
TNFRSF14	9606.ENSP00000347948	0.0024656058988682243
IL7R	9606.ENSP00000306157	0.00246153562972882
GZMB	9606.ENSP00000216341	0.002430650074538261
SRC	9606.ENSP00000362680	0.002400291536133649
TNFRSF4	9606.ENSP00000368538	0.002370922585330789
IL17A	9606.ENSP00000497968	0.002364157992404729
BTLA	9606.ENSP00000333919	0.002362807188388563
PTPN11	9606.ENSP00000489597	0.002356610260636518
TNFRSF18	9606.ENSP00000328207	0.002352686534162141
STAT1	9606.ENSP00000354394	0.002344115526312695
PDCD1LG2	9606.ENSP00000380855	0.0023425451166086573
PRF1	9606.ENSP00000398568	0.002320280396199994
ITGAX	9606.ENSP00000454623	0.002307717172921046
CSF2	9606.ENSP00000296871	0.0023002442121953983
LCK	9606.ENSP00000477713	0.0022957202973105987
CD276	9606.ENSP00000320084	0.002233627780654523
IL2RA	9606.ENSP00000369293	0.0022206994025064796
KLRD1	9606.ENSP00000338130	0.002217647845141595
CD69	9606.ENSP00000228434	0.002214600719297563
AKT1	9606.ENSP00000451828	0.0022024944670993173
TBX21	9606.ENSP00000177694	0.0021904164551068382
SELL	9606.ENSP00000498227	0.00218210154232954
CXCR3	9606.ENSP00000362795	0.0021547595093466634
TNFSF4	9606.ENSP00000281834	0.0021488075299378067
ICAM1	9606.ENSP00000264832	0.0021101342264036017
IDO1	9606.ENSP00000430950	0.002088807038172526
ICOSLG	9606.ENSP00000339477	0.0020775870951925167
KLRC1	9606.ENSP00000438038	0.002016506398966125
CXCL9	9606.ENSP00000354901	0.0019846629445796514
FYN	9606.ENSP00000346671	0.001980925347804686
LGALS9	9606.ENSP00000378856	0.0019707934080491034
CD38	9606.ENSP00000226279	0.00196170480461248
FASLG	9606.ENSP00000356694	0.001957759722784784
CCR2	9606.ENSP00000292301	0.001943982964826435
JAK3	9606.ENSP00000432511	0.0019160208640995845
PIK3R1	9606.ENSP00000428056	0.0019084276284834097
ZAP70	9606.ENSP00000264972	0.0018835204893781928
INS	9606.ENSP00000380432	0.0018752629098801904
GZMA	9606.ENSP00000274306	0.0018397060084497645
STAT5A	9606.ENSP00000341208	0.0018282062624911733
PTPN6	9606.ENSP00000391592	0.0018250239227066616
CD70	9606.ENSP00000395294	0.0018164732180629905
LYN	9606.ENSP00000428924	0.00181616473638853
EGFR	9606.ENSP00000275493	0.0018129502631902663
PVR	9606.ENSP00000402060	0.0018029597659742183
STAT5B	9606.ENSP00000293328	0.0017843934160157858
CD68	9606.ENSP00000250092	0.0017818204817358922
CXCR6	9606.ENSP00000395704	0.0017607881660048458
TNFSF18	9606.ENSP00000385470	0.0017462651017649037
NECTIN2	9606.ENSP00000252483	0.0017377337753758423
ITK	9606.ENSP00000398655	0.001714551103945859
VTCN1	9606.ENSP00000358470	0.0016862700168324507
TMIGD2	9606.ENSP00000301272	0.001683252561732091
CCL22	9606.ENSP00000219235	0.0016746155244684595
IDO2	9606.ENSP00000443432	0.0016745596292652813
HLA-DRB1	9606.ENSP00000353099	0.0016692203605191433
ITGAE	9606.ENSP00000263087	0.0016577001485675923
RUNX1	9606.ENSP00000300305	0.0016491523401235251
LGALS3	9606.ENSP00000254301	0.0016482711069231578
LGALS9C	9606.ENSP00000329932	0.0016407827872478968
FCGR1A	9606.ENSP00000358165	0.001626992341692109
IL10RA	9606.ENSP00000227752	0.0016247712119727836
CD160	9606.ENSP00000358294	0.0016135380290472152
LGALS9B	9606.ENSP00000315564	0.0015992648740827439
IL1B	9606.ENSP00000263341	0.0015851334125861361
HHLA2	9606.ENSP00000350402	0.00157401583156974
CD96	9606.ENSP00000283285	0.0015429364686458463
GATA3	9606.ENSP00000368632	0.0015339700355691324
HLA-DQA1	9606.ENSP00000339398	0.0014895336496005985
ENTPD1	9606.ENSP00000360250	0.0014532434997655884
SIRPA	9606.ENSP00000478763	0.0014512725287587982
CD44	9606.ENSP00000398632	0.001444600651424589
PTPN22	9606.ENSP00000352833	0.0014419658577341228
MTUS1	9606.ENSP00000262102	0.0014351534962772435
STAT3	9606.ENSP00000264657	0.0014262684134141385
CBFB	9606.ENSP00000415151	0.0014256074297484338
MTUS2	9606.ENSP00000498251	0.0014245068544588636
CD58	9606.ENSP00000358501	0.0013803803048158079
FCGR3B	9606.ENSP00000433642	0.0013762497683187025
BRAF	9606.ENSP00000419060	0.0013437523547152632
IGHV3OR16-9	9606.ENSP00000475107	0.0013316324889273779
LCN2	9606.ENSP00000362108	0.0013195356230370021
AKT3	9606.ENSP00000500582	0.0013133298887902324
ITGAM	9606.ENSP00000496959	0.0013050235101915433
AP2M1	9606.ENSP00000403362	0.0012683742110314983
TSHR	9606.ENSP00000441235	0.0012590252375232818
PMEL	9606.ENSP00000402758	0.0012553446205236408
CD84	9606.ENSP00000312367	0.0012343693835088672
KLRK1	9606.ENSP00000240618	0.0012116526953415941
CCR5	9606.ENSP00000292303	0.0012007517804922371
TP53	9606.ENSP00000269305	0.00115657151794886
LRBA	9606.ENSP00000349629	0.0011473967046287503
CCL5	9606.ENSP00000474412	0.001119586298553493
CD3E	9606.ENSP00000354566	0.001113233210773571
CCL2	9606.ENSP00000225831	0.0011048999339471866
IL15	9606.ENSP00000296545	0.0010856294457273043
CXCL8	9606.ENSP00000306512	0.001047467603588559
CXCR4	9606.ENSP00000386884	0.0010435945071718476
CD48	9606.ENSP00000484431	0.0010250043726898342
CXCL10	9606.ENSP00000305651	0.001021289317576631
GRB2	9606.ENSP00000376345	0.0010140889210842475
TLR4	9606.ENSP00000363089	0.0010056125939001204
JAK2	9606.ENSP00000371067	0.0010045928925545599
CXCR5	9606.ENSP00000292174	0.0009565759204640829
NCAM1	9606.ENSP00000480132	0.0009493791534325904
SYK	9606.ENSP00000364898	0.0009470806267879157
IL13	9606.ENSP00000304915	0.0009459792704865457
TNFSF9	9606.ENSP00000245817	0.0009159888688468919
NCR1	9606.ENSP00000291890	0.0009139975767902434
IL2RB	9606.ENSP00000216223	0.0009096553139478932
CD5	9606.ENSP00000342681	0.0009061677974920013
FN1	9606.ENSP00000346839	0.0008740248403519095
NFKB1	9606.ENSP00000226574	0.0008686561942557716
TNFRSF1A	9606.ENSP00000162749	0.0008658777599299115
JAK1	9606.ENSP00000499900	0.0008466303542482797
IFNA1	9606.ENSP00000276927	0.0008440867373498134
HLA-A	9606.ENSP00000379873	0.0008280225715820329
CCR6	9606.ENSP00000343952	0.0008113209918629298
HLA-E	9606.ENSP00000365817	0.0008102692839311583
ITGB2	9606.ENSP00000380948	0.0008090292428346315
IL1A	9606.ENSP00000263339	0.0008024034969236283
IL5	9606.ENSP00000231454	0.0008017921017933608
TYROBP	9606.ENSP00000262629	0.0007876695828998458
