"","Gene","Count","Thresh.Name","Thresh.Value"
"1","A2M",2,"narrow",0.002
"2","AARD",6,"narrow",0.002
"3","ABAT",2,"narrow",0.002
"4","ABCA1",1,"narrow",0.002
"5","ABCA10",1,"narrow",0.002
"6","ABCA5",1,"narrow",0.002
"7","ABCB1",120,"narrow",0.002
"8","ABCC11",142,"narrow",0.002
"9","ABCC12",126,"narrow",0.002
"10","ABCC6",56,"narrow",0.002
"11","ABCG2",3,"narrow",0.002
"12","ABHD16B",22,"narrow",0.002
"13","ABHD2",1,"narrow",0.002
"14","ABHD6",15,"narrow",0.002
"15","ABLIM3",1,"narrow",0.002
"16","ABO",1,"narrow",0.002
"17","ABR",2,"narrow",0.002
"18","ACAN",3,"narrow",0.002
"19","ACE",1,"narrow",0.002
"20","ACER1",4,"narrow",0.002
"21","ACKR2",5,"narrow",0.002
"22","ACKR3",64,"narrow",0.002
"23","ACMSD",1,"narrow",0.002
"24","ACOT6",23,"narrow",0.002
"25","ACPP",1,"narrow",0.002
"26","ACSF2",3,"narrow",0.002
"27","ACSL1",2,"narrow",0.002
"28","ACSL5",1,"narrow",0.002
"29","ACSM1",33,"narrow",0.002
"30","ACSM3",18,"narrow",0.002
"31","ACSS3",23,"narrow",0.002
"32","ACTN2",24,"narrow",0.002
"33","ACTN3",4,"narrow",0.002
"34","ACVR1C",4,"narrow",0.002
"35","ADAM12",7,"narrow",0.002
"36","ADAM23",7,"narrow",0.002
"37","ADAM33",83,"narrow",0.002
"38","ADAMTS12",12,"narrow",0.002
"39","ADAMTS20",15,"narrow",0.002
"40","ADAMTS4",13,"narrow",0.002
"41","ADAMTS7",8,"narrow",0.002
"42","ADAMTS8",109,"narrow",0.002
"43","ADAMTS9",1,"narrow",0.002
"44","ADAP2",5,"narrow",0.002
"45","ADARB1",13,"narrow",0.002
"46","ADARB2",1,"narrow",0.002
"47","ADCY2",9,"narrow",0.002
"48","ADCY5",5,"narrow",0.002
"49","ADH1B",16,"narrow",0.002
"50","ADH6",27,"narrow",0.002
"51","ADRB1",4,"narrow",0.002
"52","ADRB2",8,"narrow",0.002
"53","AEBP1",1,"narrow",0.002
"54","AFF2",8,"narrow",0.002
"55","AFF3",1,"narrow",0.002
"56","AGBL2",1,"narrow",0.002
"57","AGO3",2,"narrow",0.002
"58","AGPAT5",2,"narrow",0.002
"59","AGR2",4,"narrow",0.002
"60","AGR3",17,"narrow",0.002
"61","AGXT",2,"narrow",0.002
"62","AIM2",1,"narrow",0.002
"63","AJUBA",2,"narrow",0.002
"64","AK5",4,"narrow",0.002
"65","AK7",5,"narrow",0.002
"66","AKNAD1",1,"narrow",0.002
"67","AKR1B10",3,"narrow",0.002
"68","AKR1B15",9,"narrow",0.002
"69","AKR1C2",4,"narrow",0.002
"70","ALDH1A2",27,"narrow",0.002
"71","ALDH1A3",3,"narrow",0.002
"72","ALDH2",6,"narrow",0.002
"73","ALDH3B2",3,"narrow",0.002
"74","ALG1L",9,"narrow",0.002
"75","ALK",89,"narrow",0.002
"76","ALOX5",55,"narrow",0.002
"77","ALOXE3",1,"narrow",0.002
"78","ALPK3",2,"narrow",0.002
"79","ALPL",152,"narrow",0.002
"80","ALPP",2,"narrow",0.002
"81","AMDHD1",4,"narrow",0.002
"82","AMDHD2",2,"narrow",0.002
"83","AMIGO2",2,"narrow",0.002
"84","AMOTL2",2,"narrow",0.002
"85","AMTN",131,"narrow",0.002
"86","AMZ1",1,"narrow",0.002
"87","ANGPT1",2,"narrow",0.002
"88","ANGPTL2",9,"narrow",0.002
"89","ANGPTL6",112,"narrow",0.002
"90","ANKH",1,"narrow",0.002
"91","ANKRD2",11,"narrow",0.002
"92","ANKRD22",12,"narrow",0.002
"93","ANKRD30A",140,"narrow",0.002
"94","ANKRD30B",10,"narrow",0.002
"95","ANKS4B",28,"narrow",0.002
"96","ANO2",43,"narrow",0.002
"97","ANO5",3,"narrow",0.002
"98","ANPEP",6,"narrow",0.002
"99","ANXA3",3,"narrow",0.002
"100","ANXA8",4,"narrow",0.002
"101","ANXA8L1",16,"narrow",0.002
"102","ANXA9",10,"narrow",0.002
"103","AP3B2",7,"narrow",0.002
"104","APCDD1",1,"narrow",0.002
"105","APCDD1L",2,"narrow",0.002
"106","APOBR",19,"narrow",0.002
"107","APOC1",16,"narrow",0.002
"108","APOD",5,"narrow",0.002
"109","APOL1",3,"narrow",0.002
"110","APOL3",5,"narrow",0.002
"111","APOL6",3,"narrow",0.002
"112","AQP1",13,"narrow",0.002
"113","AQP3",13,"narrow",0.002
"114","AR",7,"narrow",0.002
"115","ARG2",2,"narrow",0.002
"116","ARHGAP25",11,"narrow",0.002
"117","ARHGAP36",1,"narrow",0.002
"118","ARHGAP40",16,"narrow",0.002
"119","ARHGAP6",1,"narrow",0.002
"120","ARHGDIB",29,"narrow",0.002
"121","ARHGEF38",1,"narrow",0.002
"122","ARID3B",12,"narrow",0.002
"123","ARL11",23,"narrow",0.002
"124","ARL13B",3,"narrow",0.002
"125","ARMCX1",1,"narrow",0.002
"126","ARSB",1,"narrow",0.002
"127","ARSH",1,"narrow",0.002
"128","ARSI",3,"narrow",0.002
"129","ARSJ",2,"narrow",0.002
"130","ASB18",4,"narrow",0.002
"131","ASNS",5,"narrow",0.002
"132","ASPRV1",3,"narrow",0.002
"133","ASXL3",6,"narrow",0.002
"134","ATOH8",20,"narrow",0.002
"135","ATP13A4",2,"narrow",0.002
"136","ATP13A5",1,"narrow",0.002
"137","ATP2B4",2,"narrow",0.002
"138","ATP6V0A4",5,"narrow",0.002
"139","ATP6V0E2",3,"narrow",0.002
"140","ATXN1",1,"narrow",0.002
"141","ATXN2L",1,"narrow",0.002
"142","AVPI1",1,"narrow",0.002
"143","AVPR1B",5,"narrow",0.002
"144","AXIN2",1,"narrow",0.002
"145","AXL",5,"narrow",0.002
"146","AZGP1",2,"narrow",0.002
"147","B3GALT1",4,"narrow",0.002
"148","B3GALT4",1,"narrow",0.002
"149","B3GALT5",60,"narrow",0.002
"150","B3GAT1",107,"narrow",0.002
"151","B3GAT2",1,"narrow",0.002
"152","BACE2",1,"narrow",0.002
"153","BASP1",5,"narrow",0.002
"154","BATF",3,"narrow",0.002
"155","BCAR3",1,"narrow",0.002
"156","BCAS1",21,"narrow",0.002
"157","BCAT1",1,"narrow",0.002
"158","BCL11B",2,"narrow",0.002
"159","BCL2L11",5,"narrow",0.002
"160","BCL9",4,"narrow",0.002
"161","BCOR",1,"narrow",0.002
"162","BDKRB1",1,"narrow",0.002
"163","BDKRB2",12,"narrow",0.002
"164","BEAN1",1,"narrow",0.002
"165","BEST3",4,"narrow",0.002
"166","BEX4",1,"narrow",0.002
"167","BGN",78,"narrow",0.002
"168","BIN2",10,"narrow",0.002
"169","BLM",3,"narrow",0.002
"170","BLNK",7,"narrow",0.002
"171","BLVRB",2,"narrow",0.002
"172","BMP2",2,"narrow",0.002
"173","BMP3",4,"narrow",0.002
"174","BMP8A",4,"narrow",0.002
"175","BNIP3",1,"narrow",0.002
"176","BPIFA2",18,"narrow",0.002
"177","BPIFB1",19,"narrow",0.002
"178","BPIFB2",66,"narrow",0.002
"179","BRD4",58,"narrow",0.002
"180","BRINP1",1,"narrow",0.002
"181","BRINP3",31,"narrow",0.002
"182","BSN",3,"narrow",0.002
"183","BST2",2,"narrow",0.002
"184","C10orf55",1,"narrow",0.002
"185","C12orf56",4,"narrow",0.002
"186","C14orf132",1,"narrow",0.002
"187","C15orf48",11,"narrow",0.002
"188","C16orf74",1,"narrow",0.002
"189","C18orf63",4,"narrow",0.002
"190","C19orf18",2,"narrow",0.002
"191","C19orf33",4,"narrow",0.002
"192","C19orf81",1,"narrow",0.002
"193","C1QTNF5",3,"narrow",0.002
"194","C1R",4,"narrow",0.002
"195","C1S",5,"narrow",0.002
"196","C1orf61",1,"narrow",0.002
"197","C2CD4B",39,"narrow",0.002
"198","C3",6,"narrow",0.002
"199","C3orf14",3,"narrow",0.002
"200","C4BPB",1,"narrow",0.002
"201","C4orf19",84,"narrow",0.002
"202","C4orf33",3,"narrow",0.002
"203","C4orf47",1,"narrow",0.002
"204","C5AR2",4,"narrow",0.002
"205","C5orf46",4,"narrow",0.002
"206","C5orf47",92,"narrow",0.002
"207","C5orf58",1,"narrow",0.002
"208","C6orf15",1,"narrow",0.002
"209","C6orf223",101,"narrow",0.002
"210","C8orf48",3,"narrow",0.002
"211","C9orf152",11,"narrow",0.002
"212","CA12",6,"narrow",0.002
"213","CA2",6,"narrow",0.002
"214","CA9",3,"narrow",0.002
"215","CABLES1",10,"narrow",0.002
"216","CABP1",89,"narrow",0.002
"217","CACHD1",59,"narrow",0.002
"218","CACNA1A",44,"narrow",0.002
"219","CACNA1E",23,"narrow",0.002
