geneID	string_protein_id	propagate_scores
CD274	9606.ENSP00000370989	0.15376868311775346
CD8A	9606.ENSP00000386559	0.004929364129571605
CD4	9606.ENSP00000011653	0.004669920089554823
IFNG	9606.ENSP00000229135	0.003914618197407118
TNF	9606.ENSP00000398698	0.0037982290471183827
CTLA4	9606.ENSP00000497102	0.0036246382904869625
IL10	9606.ENSP00000412237	0.0035409731144530943
IL6	9606.ENSP00000385675	0.003464658463098333
IL2	9606.ENSP00000226730	0.003369447514630996
PTPRC	9606.ENSP00000411355	0.003317109679210995
PDCD1	9606.ENSP00000335062	0.0032976361553269337
CD86	9606.ENSP00000332049	0.003102482755169501
CD28	9606.ENSP00000324890	0.0030872173406451364
EGFR	9606.ENSP00000275493	0.0030685343230436794
CD80	9606.ENSP00000264246	0.0030441360651651604
IL1B	9606.ENSP00000263341	0.002948673161603902
HAVCR2	9606.ENSP00000312002	0.0029127235940651303
LAG3	9606.ENSP00000203629	0.002895621898297419
ICOS	9606.ENSP00000319476	0.002894083868447052
FCGR3A	9606.ENSP00000356946	0.0028595195997381286
CD40	9606.ENSP00000361359	0.0028061469201073608
IL4	9606.ENSP00000231449	0.0027585355989247578
CD19	9606.ENSP00000313419	0.0027372922043988447
TNFRSF9	9606.ENSP00000478699	0.0027255479453891724
STAT3	9606.ENSP00000264657	0.002697424881616293
TIGIT	9606.ENSP00000419085	0.002691211102230921
ITGAM	9606.ENSP00000496959	0.0026526152574321963
FOXP3	9606.ENSP00000365380	0.0026428353760549745
FCGR3B	9606.ENSP00000433642	0.0026066061892134735
PDCD1LG2	9606.ENSP00000380855	0.002591183107104682
STAT1	9606.ENSP00000354394	0.0025657400750560724
TP53	9606.ENSP00000269305	0.0025236679554268425
CD247	9606.ENSP00000354782	0.0025161948208540603
GZMB	9606.ENSP00000216341	0.0024862691973743713
ITGAX	9606.ENSP00000454623	0.0024732722045830054
PTPN11	9606.ENSP00000489597	0.0024721248562177994
CSF2	9606.ENSP00000296871	0.002445330644943051
IL17A	9606.ENSP00000497968	0.0024350389698375805
AKT1	9606.ENSP00000451828	0.002377278053152018
LCK	9606.ENSP00000477713	0.0023252741611428534
