"","Gene","Ranksum","Rankcount","thresh","thresh.val","total.iter"
"1","UAP1",11905,27,"strict",0.005,200
"2","SMAD7",1306,2,"strict",0.005,200
"3","LRRC17",2865,7,"strict",0.005,200
"4","OR3A1",1687,4,"strict",0.005,200
"5","PIMREG",29960,62,"strict",0.005,200
"6","H3C13",29311,71,"strict",0.005,200
"7","USF1",246,1,"strict",0.005,200
"8","MRPL9",14703,33,"strict",0.005,200
"9","CLPTM1L",7350,19,"strict",0.005,200
"10","SLC11A1",2219,3,"strict",0.005,200
"11","IGHV3OR16-9",1613,3,"strict",0.005,200
"12","CRLF1",32729,139,"strict",0.005,200
"13","MORC1",9839,146,"strict",0.005,200
"14","CXorf49",2759,7,"strict",0.005,200
"15","SH2D3C",570,1,"strict",0.005,200
"16","GATAD2B",641,1,"strict",0.005,200
"17","HIPK2",2248,4,"strict",0.005,200
"18","TXNRD1",1740,4,"strict",0.005,200
"19","RAB44",3754,5,"strict",0.005,200
"20","C16orf54",1010,2,"strict",0.005,200
"21","S1PR1",2220,3,"strict",0.005,200
"22","CYP2C9",28248,178,"strict",0.005,200
"23","SLFN13",5157,9,"strict",0.005,200
"24","COL6A2",792,1,"strict",0.005,200
"25","GOLGA6L2",1453,4,"strict",0.005,200
"26","TMEM204",40518,174,"strict",0.005,200
"27","STAB2",10677,26,"strict",0.005,200
"28","MRPS14",14207,26,"strict",0.005,200
"29","STS",31322,108,"strict",0.005,200
"30","BUD31",929,2,"strict",0.005,200
"31","TLN1",1288,1,"strict",0.005,200
"32","TBC1D3",1391,7,"strict",0.005,200
"33","PLK3",8625,20,"strict",0.005,200
"34","TGFB1I1",19343,39,"strict",0.005,200
"35","COL3A1",1074,1,"strict",0.005,200
"36","MUC19",19065,127,"strict",0.005,200
"37","ZNF519",8117,14,"strict",0.005,200
"38","ZNF84",1369,1,"strict",0.005,200
"39","TIMELESS",31349,71,"strict",0.005,200
"40","RPS6KA1",827,1,"strict",0.005,200
"41","MPHOSPH9",10692,20,"strict",0.005,200
"42","MPP2",526,1,"strict",0.005,200
"43","LGALS9C",5543,13,"strict",0.005,200
"44","POLA2",26659,184,"strict",0.005,200
"45","RHEX",1351,3,"strict",0.005,200
"46","SLC5A4",733,1,"strict",0.005,200
"47","IRX6",578,1,"strict",0.005,200
"48","CTAG1B",4850,15,"strict",0.005,200
"49","GKN1",8210,31,"strict",0.005,200
"50","CHST2",995,2,"strict",0.005,200
"51","NSD2",1825,5,"strict",0.005,200
"52","DNAJC22",2543,9,"strict",0.005,200
"53","BOLA2B",3620,8,"strict",0.005,200
"54","PLTP",3526,7,"strict",0.005,200
"55","SPON2",2203,3,"strict",0.005,200
"56","CDC20",25888,58,"strict",0.005,200
"57","EME1",21505,49,"strict",0.005,200
"58","MCM7",9700,17,"strict",0.005,200
"59","RARRES1",650,1,"strict",0.005,200
"60","TMEM67",9023,14,"strict",0.005,200
"61","CD109",2009,6,"strict",0.005,200
"62","PDHX",1995,2,"strict",0.005,200
"63","PDP1",340,1,"strict",0.005,200
"64","NR5A2",832,1,"strict",0.005,200
"65","SCTR",18941,63,"strict",0.005,200
"66","SBK1",5829,9,"strict",0.005,200
"67","FSD1",20619,187,"strict",0.005,200
"68","BPIFB1",25104,82,"strict",0.005,200
"69","SPRED1",21839,49,"strict",0.005,200
"70","ITLN1",2014,6,"strict",0.005,200
"71","BABAM1",541,1,"strict",0.005,200
"72","XIRP2",397,1,"strict",0.005,200
"73","VIM",1673,2,"strict",0.005,200
"74","UCN2",12281,33,"strict",0.005,200
"75","POLR3C",2405,5,"strict",0.005,200
"76","TFRC",20635,53,"strict",0.005,200
"77","PRCC",758,1,"strict",0.005,200
"78","GP2",24371,135,"strict",0.005,200
"79","SPINT2",2864,5,"strict",0.005,200
"80","ROS1",17237,76,"strict",0.005,200
"81","GPN3",21484,50,"strict",0.005,200
"82","GLP2R",1059,1,"strict",0.005,200
"83","UFC1",4021,10,"strict",0.005,200
"84","SOAT2",2072,6,"strict",0.005,200
"85","CKAP5",7376,12,"strict",0.005,200
"86","PRICKLE2",12821,32,"strict",0.005,200
"87","ZBTB12",558,1,"strict",0.005,200
"88","IGHV3-72",624,1,"strict",0.005,200
"89","PTTG1",3459,5,"strict",0.005,200
"90","C1orf112",7791,23,"strict",0.005,200
"91","ERCC4",21970,195,"strict",0.005,200
"92","CYYR1",8315,13,"strict",0.005,200
"93","ERVMER34-1",64,2,"strict",0.005,200
"94","MRC1",3440,5,"strict",0.005,200
"95","ENTPD5",990,2,"strict",0.005,200
