"","Gene","Ranksum","Rankcount","thresh","thresh.val","total.iter"
"2773","GALNT9",1615,7,"easy",0.05,200
"2774","SCP2D1",2815,9,"easy",0.05,200
"2775","TRIM67",925,2,"easy",0.05,200
"2776","DTX2",2140,5,"easy",0.05,200
"2777","POTEG",2667,8,"easy",0.05,200
"2778","SIGLEC8",2106,6,"easy",0.05,200
"2779","ASAP1",399,1,"easy",0.05,200
"2780","SPDYE16",1800,6,"easy",0.05,200
"2781","ACTL8",1100,3,"easy",0.05,200
"2782","PYHIN1",26981,130,"easy",0.05,200
"2783","ST6GALNAC2",2113,6,"easy",0.05,200
"2784","HBG1",20723,70,"easy",0.05,200
"2785","C16orf89",1624,4,"easy",0.05,200
"2786","GLT1D1",4580,15,"easy",0.05,200
"2787","COL6A1",3693,10,"easy",0.05,200
"2788","CSF3",26597,99,"easy",0.05,200
"2789","LRP6",4163,12,"easy",0.05,200
"2790","NRK",3411,13,"easy",0.05,200
"2791","DCAF4L2",1021,2,"easy",0.05,200
"2792","AMMECR1L",166,1,"easy",0.05,200
"2793","CELSR3",1412,7,"easy",0.05,200
"2794","COQ10B",2351,6,"easy",0.05,200
"2795","LIPI",3104,7,"easy",0.05,200
"2796","PROCR",16472,89,"easy",0.05,200
"2797","PCOLCE",708,2,"easy",0.05,200
"2798","POU4F1",2056,11,"easy",0.05,200
"2799","OTX2",171,1,"easy",0.05,200
"2800","TCAF1",3160,11,"easy",0.05,200
"2801","JMJD1C",1348,2,"easy",0.05,200
"2802","PAK1IP1",311,1,"easy",0.05,200
"2803","FGA",3642,26,"easy",0.05,200
"2804","CHST4",822,2,"easy",0.05,200
"2805","TPPP3",822,2,"easy",0.05,200
"2806","DUSP9",2237,7,"easy",0.05,200
"2807","CRYAA2",2821,8,"easy",0.05,200
"2808","MUC21",2822,7,"easy",0.05,200
"2809","MATK",1013,2,"easy",0.05,200
"2810","PTPRT",19751,147,"easy",0.05,200
"2811","PAXX",324,1,"easy",0.05,200
"2812","HSPB3",21413,118,"easy",0.05,200
"2813","SCG5",1566,5,"easy",0.05,200
"2814","UCK2",412,1,"easy",0.05,200
"2815","DNAH17",5740,21,"easy",0.05,200
"2816","IK",4716,13,"easy",0.05,200
"2817","KCNS1",624,5,"easy",0.05,200
"2818","PLPP2",259,1,"easy",0.05,200
"2819","FBLN7",4499,13,"easy",0.05,200
"2820","CLEC5A",319,1,"easy",0.05,200
"2821","DLC1",458,1,"easy",0.05,200
"2822","GABRA1",974,2,"easy",0.05,200
"2823","OLR1",498,1,"easy",0.05,200
"2824","GALNS",657,1,"easy",0.05,200
"2825","CXCL17",2959,17,"easy",0.05,200
"2826","TRPV6",3647,13,"easy",0.05,200
"2827","GPT2",2815,7,"easy",0.05,200
"2828","APOA1",10363,175,"easy",0.05,200
"2829","SNAP47",1073,2,"easy",0.05,200
"2830","IPO13",394,1,"easy",0.05,200
"2831","SSC4D",782,2,"easy",0.05,200
"2832","HLX",1140,3,"easy",0.05,200
"2833","PLEKHH3",2073,6,"easy",0.05,200
"2834","GPSM3",563,1,"easy",0.05,200
"2835","CSTB",10182,36,"easy",0.05,200
"2836","ZBED2",342,1,"easy",0.05,200
"2837","EXOSC6",623,1,"easy",0.05,200
"2838","KCNJ10",10736,37,"easy",0.05,200
"2839","SYTL1",1900,5,"easy",0.05,200
"2840","CHST1",15013,50,"easy",0.05,200
"2841","DLG2",356,1,"easy",0.05,200
"2842","MS4A15",22701,88,"easy",0.05,200
"2843","DLK1",22223,155,"easy",0.05,200
"2844","DAZ4",3258,10,"easy",0.05,200
"2845","NFE2",1391,4,"easy",0.05,200
"2846","MMP1",7952,192,"easy",0.05,200
"2847","LAMP3",309,1,"easy",0.05,200
"2848","TRIM54",18716,84,"easy",0.05,200
"2849","INPP5J",348,1,"easy",0.05,200
"2850","MROH9",17241,58,"easy",0.05,200
"2851","MYH6",15256,58,"easy",0.05,200
"2852","SNX15",169,1,"easy",0.05,200
"2853","ZNF334",408,2,"easy",0.05,200
"2854","OR1G1",4801,13,"easy",0.05,200
"2855","SEC14L4",377,1,"easy",0.05,200
"2856","BIRC3",513,1,"easy",0.05,200
"2857","ANKRD30A",624,2,"easy",0.05,200
"2858","OR1S1",546,2,"easy",0.05,200
"2859","MRPL22",572,1,"easy",0.05,200
"2860","TCHH",712,3,"easy",0.05,200
"2861","ENAH",1509,3,"easy",0.05,200
"2862","MKRN2OS",5452,19,"easy",0.05,200
"2863","CYP4F3",379,1,"easy",0.05,200
"2864","FAM9A",170,1,"easy",0.05,200
"2865","LILRA5",2886,8,"easy",0.05,200
"2866","PDCD1LG2",232,1,"easy",0.05,200
"2867","CXCL6",4828,16,"easy",0.05,200
"2868","MELTF",573,2,"easy",0.05,200
"2869","NLRC3",21649,81,"easy",0.05,200
"2870","POMT2",555,1,"easy",0.05,200
"2871","CYSLTR2",309,3,"easy",0.05,200
"2872","POLK",582,1,"easy",0.05,200
"2873","CLUL1",234,1,"easy",0.05,200
"2874","MMP13",7932,67,"easy",0.05,200
"2875","TRAF5",3282,14,"easy",0.05,200
"2876","MAP1LC3C",1628,4,"easy",0.05,200
"2877","UGT1A4",3658,11,"easy",0.05,200
"2878","JAKMIP1",11996,33,"easy",0.05,200
"2879","EBF2",68,1,"easy",0.05,200
"2880","BID",1083,3,"easy",0.05,200
"2881","LGI3",779,2,"easy",0.05,200
"2882","SLC46A2",10630,40,"easy",0.05,200
"2883","CLPP",482,1,"easy",0.05,200
"2884","NEB",578,2,"easy",0.05,200
"2885","NFKBIZ",145,1,"easy",0.05,200
"2886","RAB3B",689,2,"easy",0.05,200
"2887","NMNAT2",4509,18,"easy",0.05,200
"2888","PEBP4",11893,56,"easy",0.05,200
"2889","KY",178,1,"easy",0.05,200
"2890","TRIM72",1269,3,"easy",0.05,200
"2891","PCDHA2",642,2,"easy",0.05,200
"2892","HCAR1",3215,10,"easy",0.05,200
"2893","CD8B",15495,49,"easy",0.05,200
"2894","HSPB7",16022,73,"easy",0.05,200
"2895","SLC6A19",310,2,"easy",0.05,200
"2896","PRSS1",16043,86,"easy",0.05,200
"2897","ABCD2",16112,52,"easy",0.05,200
"2898","CLCN4",3232,9,"easy",0.05,200
"2899","PLCH2",666,2,"easy",0.05,200
"2900","APOBEC3G",18543,56,"easy",0.05,200
"2901","ZNF770",300,1,"easy",0.05,200
"2902","ALDOB",8620,47,"easy",0.05,200
"2903","RUNX3",454,1,"easy",0.05,200
"2904","C2CD4A",637,2,"easy",0.05,200
"2905","KIAA1841",648,1,"easy",0.05,200
"2906","TMC7",860,2,"easy",0.05,200
"2907","NKX2-5",763,2,"easy",0.05,200
"2908","CNTFR",390,1,"easy",0.05,200
"2909","CEACAM6",14351,89,"easy",0.05,200
"2910","PTGES3L",19601,83,"easy",0.05,200
"2911","PYM1",617,1,"easy",0.05,200
"2912","RFLNB",6553,24,"easy",0.05,200
"2913","KLHL38",22793,109,"easy",0.05,200
"2914","RFX6",2775,6,"easy",0.05,200
"2915","TNFSF12-TNFSF13",559,1,"easy",0.05,200
"2916","ARRDC5",26352,154,"easy",0.05,200
"2917","COA4",632,1,"easy",0.05,200
"2918","LGALS3",479,1,"easy",0.05,200
"2919","CERT1",80,1,"easy",0.05,200
"2920","CACNG5",1691,10,"easy",0.05,200
"2921","SYNRG",385,1,"easy",0.05,200
"2922","CUL4B",300,1,"easy",0.05,200
"2923","JUND",338,2,"easy",0.05,200
"2924","CRYBB1",486,1,"easy",0.05,200
"2925","SLC34A1",3870,40,"easy",0.05,200
"2926","NID2",255,1,"easy",0.05,200
"2927","TRAFD1",981,2,"easy",0.05,200
"2928","KRT23",15557,189,"easy",0.05,200
"2929","FER1L5",168,1,"easy",0.05,200
"2930","NPTXR",361,1,"easy",0.05,200
"2931","S100A12",23528,95,"easy",0.05,200
"2932","SYTL3",17005,66,"easy",0.05,200
"2933","AGBL1",12433,69,"easy",0.05,200
"2934","SLC26A8",7989,22,"easy",0.05,200
"2935","TAP1",4574,13,"easy",0.05,200
"2936","SKA3",451,1,"easy",0.05,200
"2937","LRRN3",17939,64,"easy",0.05,200
"2938","PRSS27",540,1,"easy",0.05,200
"2939","NR2E1",417,1,"easy",0.05,200
"2940","FOXA2",3750,8,"easy",0.05,200
"2941","DMKN",1685,3,"easy",0.05,200
"2942","PARP10",2228,6,"easy",0.05,200
"2943","ITIH1",14347,88,"easy",0.05,200
"2944","CHRNG",18155,94,"easy",0.05,200
"2945","WDPCP",545,1,"easy",0.05,200
