geneID	string_protein_id	propagate_scores
TNFSF9	9606.ENSP00000245817	0.0009419067543726988
JAK2	9606.ENSP00000371067	0.0009265522913883708
ALB	9606.ENSP00000295897	0.0009124273914122145
TNFRSF1A	9606.ENSP00000162749	0.0009117850969222272
CXCL9	9606.ENSP00000354901	0.0008866601296274669
TYROBP	9606.ENSP00000262629	0.0008855814356098905
IFNA1	9606.ENSP00000276927	0.0008648128004416129
NFKB1	9606.ENSP00000226574	0.0008625977697133766
CD48	9606.ENSP00000484431	0.0008620634300045061
FN1	9606.ENSP00000346839	0.0008356701975136715
IL7	9606.ENSP00000263851	0.000817545435573344
IL5	9606.ENSP00000231454	0.0008152181667094013
CCR2	9606.ENSP00000292301	0.0008093053518026074
PIK3R1	9606.ENSP00000428056	0.0008046493463369728
CCR6	9606.ENSP00000343952	0.000797050179071139
IL1A	9606.ENSP00000263339	0.000794335678190536
KLRB1	9606.ENSP00000229402	0.0007841887015238764
JAK1	9606.ENSP00000499900	0.0007732773499231345
JAK3	9606.ENSP00000432511	0.0007670542830714643
ITGB2	9606.ENSP00000380948	0.0007580713636928527
TLR2	9606.ENSP00000260010	0.0007564675334803866
CCL4	9606.ENSP00000482259	0.0007522006268101706
HLA-B	9606.ENSP00000399168	0.0007495830158943998
BCL2	9606.ENSP00000381185	0.0007449372318028986
NCR3	9606.ENSP00000342156	0.0007379059771906959
LCP2	9606.ENSP00000046794	0.0007308158056822672
KIT	9606.ENSP00000288135	0.0007246143549634167
CTNNB1	9606.ENSP00000495360	0.0007172108983079281
GZMK	9606.ENSP00000231009	0.0007155960109115654
CSF3	9606.ENSP00000225474	0.0007109591146754758
CXCL12	9606.ENSP00000379140	0.0007105713245123145
CD70	9606.ENSP00000395294	0.0007091235997466167
TNFRSF8	9606.ENSP00000263932	0.0007067201228427912
INS	9606.ENSP00000380432	0.0007063835352421134
CCL3	9606.ENSP00000477908	0.0006975274781743733
CD226	9606.ENSP00000461947	0.0006954451738315777
TGFB1	9606.ENSP00000221930	0.0006851728910932028
IFNB1	9606.ENSP00000369581	0.0006848776612544374
CX3CR1	9606.ENSP00000351059	0.0006802092102812889
CD34	9606.ENSP00000310036	0.0006775866207633498
ITK	9606.ENSP00000398655	0.0006767518880928142
LYN	9606.ENSP00000428924	0.0006747503273695837
EGF	9606.ENSP00000265171	0.0006712464454842209
KLRC2	9606.ENSP00000371327	0.0006689346736675538
IL22	9606.ENSP00000442424	0.000665556049573992
FCER1G	9606.ENSP00000289902	0.0006650217049468667
STAT5A	9606.ENSP00000341208	0.0006635811927951197
CXCR6	9606.ENSP00000395704	0.0006606704574566191
HLA-G	9606.ENSP00000366024	0.0006580350935693517
IL4R	9606.ENSP00000379111	0.0006452709590542266
ITGAE	9606.ENSP00000263087	0.0006437523122520961
TNFSF13B	9606.ENSP00000365048	0.0006403554325461119
NECTIN2	9606.ENSP00000252483	0.000636566481390733
TNFSF18	9606.ENSP00000385470	0.0006330632500647674
CXCL1	9606.ENSP00000379110	0.0006222821127099778
ITGAL	9606.ENSP00000349252	0.0006215326035827365
STAT5B	9606.ENSP00000293328	0.0006203665229915906
PIK3CA	9606.ENSP00000263967	0.0006073973415727667
CSF1R	9606.ENSP00000286301	0.0006021238898174455
FCGR2B	9606.ENSP00000351497	0.000597692426019308
MYC	9606.ENSP00000478887	0.0005951190183387099
LGALS3	9606.ENSP00000254301	0.0005917338327582597
MYD88	9606.ENSP00000498321	0.0005882267128504054
HLA-DPA1	9606.ENSP00000393566	0.0005874340777636878
TYK2	9606.ENSP00000431885	0.0005846526692770116
PDGFRA	9606.ENSP00000257290	0.0005836474990066852
IL9	9606.ENSP00000274520	0.000582791302745882
IL6R	9606.ENSP00000357470	0.0005758731017266386
CXCR2	9606.ENSP00000319635	0.0005751704088985811
FCGR1A	9606.ENSP00000358165	0.0005706267185842486
CD1C	9606.ENSP00000357152	0.0005701352677378296
IL2RG	9606.ENSP00000363318	0.0005681864433953504
HSP90AA1	9606.ENSP00000335153	0.0005670106535371521
ACTB	9606.ENSP00000494750	0.0005657358464508683
CD79A	9606.ENSP00000221972	0.000565735760771647
IL3	9606.ENSP00000296870	0.0005649794155194879
JUN	9606.ENSP00000360266	0.0005638982811359982
PECAM1	9606.ENSP00000457421	0.0005638472336219657
SHC1	9606.ENSP00000401303	0.0005621233037587431
IDO2	9606.ENSP00000443432	0.0005593250023544803
CD163	9606.ENSP00000352071	0.0005585577515518712
IL18	9606.ENSP00000280357	0.0005575331335390672
TRAF6	9606.ENSP00000433623	0.0005573398130138404
HLA-DQB1	9606.ENSP00000364080	0.0005558187178632012
CCL22	9606.ENSP00000219235	0.000555380224744254
CLEC7A	9606.ENSP00000302569	0.000548491736555166
ITGB1	9606.ENSP00000379350	0.0005470215592453483
SH2D1A	9606.ENSP00000360181	0.0005467919340693933
B3GAT1	9606.ENSP00000433847	0.0005450168928867392
VAV1	9606.ENSP00000472929	0.0005448310257156995
CCL11	9606.ENSP00000302234	0.0005413963585831275
IL3RA	9606.ENSP00000327890	0.0005402244833530453
CCR1	9606.ENSP00000296140	0.0005378539871148246
TRAF2	9606.ENSP00000247668	0.0005368742249722416
CD33	9606.ENSP00000262262	0.0005366010395444833
MMP9	9606.ENSP00000361405	0.0005332479279615746
CXCL13	9606.ENSP00000286758	0.0005307983800603533
PIK3R2	9606.ENSP00000222254	0.0005300592778252355
TLR9	9606.ENSP00000353874	0.0005293040262955333
CX3CL1	9606.ENSP00000006053	0.0005266804861186447
CCR3	9606.ENSP00000441600	0.000524091857989489
PLCG1	9606.ENSP00000244007	0.0005224826697687967
IL10RA	9606.ENSP00000227752	0.0005223355386518452
CD22	9606.ENSP00000085219	0.0005217303622112405
CXCL11	9606.ENSP00000306884	0.0005214038190249178
PIK3CB	9606.ENSP00000501150	0.0005198878875985755
NKG7	9606.ENSP00000221978	0.0005191735956440429
HLA-F	9606.ENSP00000259951	0.0005166035828836179
CCL17	9606.ENSP00000219244	0.0005150867245505911
PDGFRB	9606.ENSP00000261799	0.000513419204680706
HLA-DQA1	9606.ENSP00000339398	0.0005117302998254907
NCR2	9606.ENSP00000362181	0.0005105444682944523
CCL19	9606.ENSP00000308815	0.0005099378694032616
CCL20	9606.ENSP00000351671	0.0005093384970453534
HRAS	9606.ENSP00000407586	0.0005091116908658612
MET	9606.ENSP00000317272	0.0005090074995407266
