"","Gene","Count","Thresh.Name","Thresh.Value"
"160","TFAP2B",191,"narrow",0.002
"161","KCNK3",11,"narrow",0.002
"162","SESN1",6,"narrow",0.002
"163","PCDHAC2",2,"narrow",0.002
"164","ZNF266",1,"narrow",0.002
"165","HSPA1A",127,"narrow",0.002
"166","DNAJC30",2,"narrow",0.002
"167","SART1",3,"narrow",0.002
"168","MRPL13",10,"narrow",0.002
"169","CACFD1",4,"narrow",0.002
"170","MUCL1",11,"narrow",0.002
"171","TTC13",1,"narrow",0.002
"172","RDH12",9,"narrow",0.002
"173","CHMP4C",3,"narrow",0.002
"174","ALAD",1,"narrow",0.002
"175","GFOD2",1,"narrow",0.002
"176","CD3G",4,"narrow",0.002
"177","TMED3",1,"narrow",0.002
"178","BMX",12,"narrow",0.002
"179","MYO3A",83,"narrow",0.002
"180","ITGB6",22,"narrow",0.002
"181","EI24",19,"narrow",0.002
"182","LRRN2",20,"narrow",0.002
"183","ITPR3",2,"narrow",0.002
"184","GPANK1",1,"narrow",0.002
"185","DLX3",32,"narrow",0.002
"186","TSPAN3",12,"narrow",0.002
"187","ZC3H4",13,"narrow",0.002
"188","NPTX2",5,"narrow",0.002
"189","CYP24A1",1,"narrow",0.002
"190","SNX22",23,"narrow",0.002
"191","ZNF385B",1,"narrow",0.002
"192","LYNX1",22,"narrow",0.002
"193","RP1",1,"narrow",0.002
"194","RHOA",1,"narrow",0.002
"195","CIT",7,"narrow",0.002
"196","PEMT",1,"narrow",0.002
"197","GJA3",6,"narrow",0.002
"198","CEMIP2",2,"narrow",0.002
"199","TCEA1",1,"narrow",0.002
"200","PSMD10",3,"narrow",0.002
"201","NFS1",1,"narrow",0.002
"202","TRNP1",1,"narrow",0.002
"203","ZNF783",2,"narrow",0.002
"204","MED29",2,"narrow",0.002
"205","UHRF1",14,"narrow",0.002
"206","STUM",137,"narrow",0.002
"207","NPHP4",8,"narrow",0.002
"208","MAOB",1,"narrow",0.002
"209","RGPD1",1,"narrow",0.002
"210","BAIAP2L2",1,"narrow",0.002
"211","NMRK2",24,"narrow",0.002
"212","ZNF334",2,"narrow",0.002
"213","PPP2CA",1,"narrow",0.002
"214","RHOH",5,"narrow",0.002
"215","CRHBP",12,"narrow",0.002
"216","DCHS2",24,"narrow",0.002
"217","NFE2",1,"narrow",0.002
"218","SNAP25",3,"narrow",0.002
"219","GTDC1",1,"narrow",0.002
"220","MTCL1",5,"narrow",0.002
"221","GSK3B",2,"narrow",0.002
"222","LCE2B",32,"narrow",0.002
"223","YPEL2",1,"narrow",0.002
"224","TCAP",6,"narrow",0.002
"225","TMIGD3",2,"narrow",0.002
"226","CNTN2",4,"narrow",0.002
"227","LCN2",134,"narrow",0.002
"228","MRPL43",2,"narrow",0.002
"229","FAHD1",3,"narrow",0.002
"230","HIBADH",1,"narrow",0.002
"231","LHFPL2",7,"narrow",0.002
"232","MMP28",7,"narrow",0.002
"233","CD300LG",4,"narrow",0.002
"234","PRR36",6,"narrow",0.002
"235","PDZK1IP1",1,"narrow",0.002
"236","SLPI",19,"narrow",0.002
"237","CD109",6,"narrow",0.002
"238","EBPL",4,"narrow",0.002
"239","TLCD2",4,"narrow",0.002
"240","FLG2",20,"narrow",0.002
"241","USP41",16,"narrow",0.002
"242","ABCA7",152,"narrow",0.002
"243","SESN3",1,"narrow",0.002
"244","CACNA2D2",21,"narrow",0.002
"245","MOSPD1",18,"narrow",0.002
"246","YAP1",3,"narrow",0.002
"247","NRN1",15,"narrow",0.002
"248","DGKZ",1,"narrow",0.002
"249","ADAMTS19",2,"narrow",0.002
"250","SLC35B2",27,"narrow",0.002
"251","NR2E1",50,"narrow",0.002
"252","COX7A2L",6,"narrow",0.002
"253","KRT14",25,"narrow",0.002
"254","MEST",68,"narrow",0.002
"255","NOS1",1,"narrow",0.002
"256","ANKRD35",2,"narrow",0.002
"257","ZNF514",1,"narrow",0.002
"258","NKAIN1",8,"narrow",0.002
"259","MALL",15,"narrow",0.002
"260","SPPL3",6,"narrow",0.002
"261","ARMCX6",1,"narrow",0.002
"262","SMAGP",2,"narrow",0.002
"263","NEXMIF",2,"narrow",0.002
"264","DHRS7",1,"narrow",0.002
"265","C4orf33",17,"narrow",0.002
"266","POLR2L",2,"narrow",0.002
"267","CRYL1",6,"narrow",0.002
"268","AMBP",2,"narrow",0.002
"269","IMPACT",5,"narrow",0.002
"270","SRGAP2B",14,"narrow",0.002
"271","SAA2",8,"narrow",0.002
"272","NKAIN3",3,"narrow",0.002
"273","BRK1",4,"narrow",0.002
"274","NKAIN4",22,"narrow",0.002
"275","ZBP1",5,"narrow",0.002
"276","MT-ND5",1,"narrow",0.002
"277","DEF6",5,"narrow",0.002
"278","NMB",1,"narrow",0.002
"279","ZFYVE21",15,"narrow",0.002
"280","CGGBP1",2,"narrow",0.002
"281","CD37",2,"narrow",0.002
"282","SPACA9",18,"narrow",0.002
"283","CFTR",37,"narrow",0.002
"284","TMEM263",2,"narrow",0.002
"285","VPS26C",1,"narrow",0.002
"286","RAB3C",1,"narrow",0.002
"287","TIMM13",5,"narrow",0.002
"288","SEMA3G",2,"narrow",0.002
"289","TRIM73",14,"narrow",0.002
"290","TNFSF18",3,"narrow",0.002
"291","VSTM2B",29,"narrow",0.002
"292","NLRC3",58,"narrow",0.002
"293","SERPINB3",7,"narrow",0.002
"294","XPC",4,"narrow",0.002
"295","DPYSL5",2,"narrow",0.002
"296","FZD9",1,"narrow",0.002
"297","ADAT3",1,"narrow",0.002
"298","DNAJC25-GNG10",1,"narrow",0.002
"299","ARL16",1,"narrow",0.002
"300","RHOV",2,"narrow",0.002
"301","NKAPD1",5,"narrow",0.002
"302","ATP13A2",2,"narrow",0.002
"303","PRRG3",2,"narrow",0.002
"304","SLC8A2",2,"narrow",0.002
"305","SLC6A11",15,"narrow",0.002
"306","TRIM61",1,"narrow",0.002
"307","TCERG1L",2,"narrow",0.002
"308","FEZ1",8,"narrow",0.002
"309","MOB3B",6,"narrow",0.002
"310","C1orf115",2,"narrow",0.002
"311","PRPF31",5,"narrow",0.002
"312","SLC41A3",14,"narrow",0.002
"313","MEX3B",1,"narrow",0.002
"314","FMOD",1,"narrow",0.002
"315","LRSAM1",2,"narrow",0.002
"316","CYP4B1",13,"narrow",0.002
"317","DMPK",1,"narrow",0.002
"318","UNC5CL",2,"narrow",0.002
"319","NDUFA7",6,"narrow",0.002
"320","JPH1",7,"narrow",0.002
"321","TNFSF9",2,"narrow",0.002
"322","ZNF577",1,"narrow",0.002
"323","ABCF1",1,"narrow",0.002
"324","RPL29",14,"narrow",0.002
"325","NSUN7",29,"narrow",0.002
"326","CNTN5",1,"narrow",0.002
"327","NPFFR2",1,"narrow",0.002
"328","ASB8",1,"narrow",0.002
"329","TBC1D16",2,"narrow",0.002
"330","METTL7A",1,"narrow",0.002
"331","SLC44A4",46,"narrow",0.002
"332","CNDP1",1,"narrow",0.002
"333","RPL39",4,"narrow",0.002
"334","FOXO4",1,"narrow",0.002
"335","GDPD5",1,"narrow",0.002
"336","PERP",1,"narrow",0.002
"337","ANKMY1",1,"narrow",0.002
"338","BLACAT1",10,"narrow",0.002
"339","ZNF696",1,"narrow",0.002
"340","INSYN2B",29,"narrow",0.002
"341","ZFP41",1,"narrow",0.002
"342","BBOX1",3,"narrow",0.002
"343","GLOD4",10,"narrow",0.002
"344","C1orf21",3,"narrow",0.002
"345","LMAN2L",1,"narrow",0.002
"346","SH3BGRL2",1,"narrow",0.002
"347","CHST9",1,"narrow",0.002
"348","KRT8",1,"narrow",0.002
"349","CTDSPL",2,"narrow",0.002
"350","CD79A",28,"narrow",0.002
"351","SLAMF1",13,"narrow",0.002
"352","ALDH3A2",2,"narrow",0.002
"353","PROM1",7,"narrow",0.002
"354","INPP5D",9,"narrow",0.002
"355","VPREB3",2,"narrow",0.002
"356","FAM174B",56,"narrow",0.002
"357","AMPD2",2,"narrow",0.002
"358","NDRG1",57,"narrow",0.002
