geneID	string_protein_id	propagate_scores
KDR	9606.ENSP00000263923	0.01955768773559082
PDGFRB	9606.ENSP00000261799	0.019131120599856003
KIT	9606.ENSP00000288135	0.019026378122385793
PDGFRA	9606.ENSP00000257290	0.01888213800747894
FLT4	9606.ENSP00000261937	0.01874357867740979
FLT1	9606.ENSP00000282397	0.018741812080475283
CSF1R	9606.ENSP00000286301	0.018534661001041862
EPHA2	9606.ENSP00000351209	0.018484246814314084
FLT3	9606.ENSP00000241453	0.01828526744246991
EGFR	9606.ENSP00000275493	0.003846536645639008
EGF	9606.ENSP00000265171	0.0032029129564565438
GRB2	9606.ENSP00000376345	0.0031196365844015166
ERBB2	9606.ENSP00000269571	0.003013201082822925
INS	9606.ENSP00000380432	0.002855485445325932
IGF1	9606.ENSP00000376637	0.0026489513439153763
SRC	9606.ENSP00000362680	0.0026102747206400087
FGF2	9606.ENSP00000264498	0.0025163099445091905
HGF	9606.ENSP00000222390	0.0024361942539213753
PIK3R1	9606.ENSP00000428056	0.0023384622564931686
SHC1	9606.ENSP00000401303	0.0023025283810260942
IL6	9606.ENSP00000385675	0.002237836526774713
STAT3	9606.ENSP00000264657	0.002159465716557237
PIK3CA	9606.ENSP00000263967	0.0021143657654468574
PTPN11	9606.ENSP00000489597	0.0020874903764853277
FGFR1	9606.ENSP00000393312	0.0020447285699880823
FGF1	9606.ENSP00000480791	0.0020282403576571783
NGF	9606.ENSP00000358525	0.002024714455719049
FGF8	9606.ENSP00000321797	0.002024474827184922
VEGFC	9606.ENSP00000480043	0.002008721927945514
FGF7	9606.ENSP00000267843	0.0019775714932731437
FGF3	9606.ENSP00000334122	0.001957209972752909
FGF17	9606.ENSP00000352414	0.001949372538500371
FGF5	9606.ENSP00000311697	0.0019409010851331484
BDNF	9606.ENSP00000414303	0.0019289617832264649
TGFA	9606.ENSP00000404131	0.0019258673144817715
MET	9606.ENSP00000317272	0.001923173656924455
FGF4	9606.ENSP00000168712	0.0019028624339648787
IGF1R	9606.ENSP00000497069	0.0018998188061453653
FGF9	9606.ENSP00000371790	0.0018996318501832514
ANGPT1	9606.ENSP00000428340	0.0018940017661342038
FGF18	9606.ENSP00000274625	0.0018921503951017942
PDGFB	9606.ENSP00000330382	0.001880383702641763
FGF6	9606.ENSP00000228837	0.0018753876642093592
FGF10	9606.ENSP00000264664	0.001870428182426524
NTRK1	9606.ENSP00000431418	0.0018679072332124479
FGF22	9606.ENSP00000215530	0.0018610471253472224
ANGPT2	9606.ENSP00000314897	0.0018569818820631796
FGF20	9606.ENSP00000180166	0.0018498694610227934
VEGFB	9606.ENSP00000311127	0.0018484279307094185
FN1	9606.ENSP00000346839	0.001834718534961856
PGF	9606.ENSP00000451040	0.0018291525007627155
PECAM1	9606.ENSP00000457421	0.0018241705055992324
KITLG	9606.ENSP00000495951	0.0018235893840838344
FGF16	9606.ENSP00000399324	0.0018232739723971143
PIK3R2	9606.ENSP00000222254	0.001814433662433709
CRK	9606.ENSP00000300574	0.001803882124934877
CSF1	9606.ENSP00000327513	0.0017939341970624508
KRAS	9606.ENSP00000256078	0.001789441698270164
PIK3CB	9606.ENSP00000501150	0.0017893402026583887
FGFR2	9606.ENSP00000410294	0.0017765809666030442
CTNNB1	9606.ENSP00000495360	0.0017716853536503708
PDGFC	9606.ENSP00000422464	0.0017573648641466425
TGFB1	9606.ENSP00000221930	0.0017548582517991056
IGF2	9606.ENSP00000391826	0.001753871473879747
VEGFD	9606.ENSP00000297904	0.0017429422423139507
FGF23	9606.ENSP00000237837	0.0017389009565931723
PIK3R3	9606.ENSP00000262741	0.0017327546049830703
TEK	9606.ENSP00000369375	0.0017323941844220791
PDGFA	9606.ENSP00000346508	0.0017123934037680385
PIK3CD	9606.ENSP00000366563	0.0017022470427171393
TP53	9606.ENSP00000269305	0.0016992635359678026
FGFR3	9606.ENSP00000339824	0.0016475299663089278
JAK2	9606.ENSP00000371067	0.0016367803031373635
AREG	9606.ENSP00000379097	0.001625845718328882
ERBB3	9606.ENSP00000267101	0.0016051875855439698
PDGFD	9606.ENSP00000376865	0.001599699583128161
CBL	9606.ENSP00000264033	0.0015667626834819912
FGF19	9606.ENSP00000294312	0.0015613852800117822
AKT1	9606.ENSP00000451828	0.001556523229529094
EFNA1	9606.ENSP00000357392	0.0015372378275821598
ITGB1	9606.ENSP00000379350	0.0015296212170540662
CD34	9606.ENSP00000310036	0.0015281268646363806
CD44	9606.ENSP00000398632	0.0015239285875337685
ERBB4	9606.ENSP00000342235	0.0015211690138291366
PTK2	9606.ENSP00000341189	0.0014928853878371556
FGFR4	9606.ENSP00000292408	0.001476510765121698
IRS1	9606.ENSP00000304895	0.00146891251303354
