"","Gene","Count","Thresh.Name","Thresh.Value"
"1","AADAC",2,"narrow",0.002
"2","ABCA6",1,"narrow",0.002
"3","ABCC11",1,"narrow",0.002
"4","ABCC9",39,"narrow",0.002
"5","ABI3BP",8,"narrow",0.002
"6","ACAN",2,"narrow",0.002
"7","ACE",3,"narrow",0.002
"8","ACKR4",1,"narrow",0.002
"9","ACPP",6,"narrow",0.002
"10","ACSL5",24,"narrow",0.002
"11","ACSS3",1,"narrow",0.002
"12","ACTC1",19,"narrow",0.002
"13","ACTG2",5,"narrow",0.002
"14","ADAM33",13,"narrow",0.002
"15","ADAMTS12",3,"narrow",0.002
"16","ADAMTS2",44,"narrow",0.002
"17","ADAMTS5",2,"narrow",0.002
"18","ADAMTS9",4,"narrow",0.002
"19","ADAMTSL1",9,"narrow",0.002
"20","ADARB2",2,"narrow",0.002
"21","ADCY4",28,"narrow",0.002
"22","ADORA1",7,"narrow",0.002
"23","ADRA1D",7,"narrow",0.002
"24","ADRB2",2,"narrow",0.002
"25","AGTR1",1,"narrow",0.002
"26","AHCYL2",1,"narrow",0.002
"27","AIM2",1,"narrow",0.002
"28","AJAP1",65,"narrow",0.002
"29","AKR1C2",6,"narrow",0.002
"30","ALKBH4",4,"narrow",0.002
"31","ALPK2",3,"narrow",0.002
"32","ALPL",11,"narrow",0.002
"33","ALX4",2,"narrow",0.002
"34","ANKRD35",7,"narrow",0.002
"35","ANO2",1,"narrow",0.002
"36","ANPEP",19,"narrow",0.002
"37","AOC1",1,"narrow",0.002
"38","AOX1",24,"narrow",0.002
"39","AP1M2",1,"narrow",0.002
"40","APBB1IP",35,"narrow",0.002
"41","APCDD1L",93,"narrow",0.002
"42","AQP1",4,"narrow",0.002
"43","AQP3",1,"narrow",0.002
"44","ARHGAP22",3,"narrow",0.002
"45","ARHGAP25",6,"narrow",0.002
"46","ARHGAP40",1,"narrow",0.002
"47","ARL3",1,"narrow",0.002
"48","ARMC4",10,"narrow",0.002
"49","ARPC1B",1,"narrow",0.002
"50","ARPP21",1,"narrow",0.002
"51","ARSH",5,"narrow",0.002
"52","ARTN",12,"narrow",0.002
"53","ASB4",96,"narrow",0.002
"54","ASPN",8,"narrow",0.002
"55","ASS1",10,"narrow",0.002
"56","ASTN1",2,"narrow",0.002
"57","ATP1A3",1,"narrow",0.002
"58","ATP2A3",2,"narrow",0.002
"59","ATP8B1",20,"narrow",0.002
"60","B3GALT5",22,"narrow",0.002
"61","B3GNT8",5,"narrow",0.002
"62","BAAT",1,"narrow",0.002
"63","BARX2",2,"narrow",0.002
"64","BASP1",14,"narrow",0.002
"65","BCAN",3,"narrow",0.002
"66","BCAT1",3,"narrow",0.002
"67","BDKRB1",3,"narrow",0.002
"68","BEND4",3,"narrow",0.002
"69","BEST3",1,"narrow",0.002
"70","BEX1",6,"narrow",0.002
"71","BFSP1",1,"narrow",0.002
"72","BGN",22,"narrow",0.002
"73","BHMT2",5,"narrow",0.002
"74","BLID",2,"narrow",0.002
"75","BMPER",34,"narrow",0.002
"76","BNC1",66,"narrow",0.002
"77","BPHL",1,"narrow",0.002
"78","BPI",1,"narrow",0.002
"79","BPIFB1",2,"narrow",0.002
"80","BRINP2",3,"narrow",0.002
"81","BTNL9",11,"narrow",0.002
"82","C11orf87",6,"narrow",0.002
"83","C12orf49",1,"narrow",0.002
"84","C12orf75",2,"narrow",0.002
"85","C14orf39",1,"narrow",0.002
"86","C1QTNF3",59,"narrow",0.002
"87","C1orf94",1,"narrow",0.002
"88","C3",64,"narrow",0.002
