"","Gene","Count","Thresh.Name","Thresh.Value"
"1","CEP128",1,"narrow",0.002
"2","APOL2",2,"narrow",0.002
"3","BTN3A3",2,"narrow",0.002
"4","ZHX2",2,"narrow",0.002
"5","BTN3A2",2,"narrow",0.002
"6","AKR1C1",1,"narrow",0.002
"7","HBA1",6,"narrow",0.002
"8","TRIM22",5,"narrow",0.002
"9","PIM2",1,"narrow",0.002
"10","PROCR",4,"narrow",0.002
"11","EGR1",2,"narrow",0.002
"12","EAF2",1,"narrow",0.002
"13","SLF1",1,"narrow",0.002
"14","AGER",2,"narrow",0.002
"15","LDLR",4,"narrow",0.002
"16","NQO1",3,"narrow",0.002
"17","ZNF101",1,"narrow",0.002
"18","MYO1G",2,"narrow",0.002
"19","APOBEC3F",1,"narrow",0.002
"20","TUBA1A",8,"narrow",0.002
"21","HBA2",6,"narrow",0.002
"22","HBB",8,"narrow",0.002
"23","IL1B",16,"narrow",0.002
"24","BTN3A1",2,"narrow",0.002
"25","PRF1",1,"narrow",0.002
"26","APOL1",2,"narrow",0.002
"27","IER3",1,"narrow",0.002
"28","SP140",2,"very.tight",0.005
"29","CEP128",1,"very.tight",0.005
"30","NCKAP1",1,"very.tight",0.005
"31","PSME1",1,"very.tight",0.005
"32","APOL2",3,"very.tight",0.005
"33","CALCOCO2",1,"very.tight",0.005
"34","BTN3A3",3,"very.tight",0.005
"35","ARRDC2",1,"very.tight",0.005
"36","HAVCR2",1,"very.tight",0.005
"37","ZHX2",2,"very.tight",0.005
"38","BTN3A2",3,"very.tight",0.005
"39","AKR1C1",1,"very.tight",0.005
"40","GRAMD1B",1,"very.tight",0.005
"41","HBA1",7,"very.tight",0.005
"42","TRIM22",10,"very.tight",0.005
"43","CCDC141",1,"very.tight",0.005
"44","PIM2",1,"very.tight",0.005
"45","SNCA",1,"very.tight",0.005
"46","PROCR",9,"very.tight",0.005
"47","SEPTIN1",2,"very.tight",0.005
"48","EGR1",3,"very.tight",0.005
"49","EAF2",2,"very.tight",0.005
"50","SLF1",2,"very.tight",0.005
"51","AGER",4,"very.tight",0.005
"52","SYTL3",1,"very.tight",0.005
"53","PARP15",1,"very.tight",0.005
"54","LDLR",7,"very.tight",0.005
"55","NQO1",4,"very.tight",0.005
"56","ZNF101",1,"very.tight",0.005
"57","MYO1G",3,"very.tight",0.005
"58","CD8A",2,"very.tight",0.005
"59","VAMP1",2,"very.tight",0.005
"60","APOBEC3F",3,"very.tight",0.005
"61","DHCR7",1,"very.tight",0.005
"62","TUBA1A",12,"very.tight",0.005
"63","NR4A2",1,"very.tight",0.005
"64","ERAP1",1,"very.tight",0.005
"65","HBA2",6,"very.tight",0.005
"66","IKZF2",1,"very.tight",0.005
"67","HLA-G",1,"very.tight",0.005
"68","HBB",8,"very.tight",0.005
"69","IL1B",31,"very.tight",0.005
"70","AKNA",2,"very.tight",0.005
"71","BTN3A1",7,"very.tight",0.005
"72","IL2RB",1,"very.tight",0.005
"73","PRF1",6,"very.tight",0.005
