"","Gene","Count","Thresh.Name","Thresh.Value"
"160","CDC20",10,"narrow",0.002
"161","HIPK1",23,"narrow",0.002
"162","BFAR",1,"narrow",0.002
"163","KRT10",82,"narrow",0.002
"164","BLVRA",6,"narrow",0.002
"165","NFS1",1,"narrow",0.002
"166","CHML",2,"narrow",0.002
"167","RNF34",1,"narrow",0.002
"168","TMEM9",6,"narrow",0.002
"169","TMEM123",4,"narrow",0.002
"170","RPL15",3,"narrow",0.002
"171","GUCD1",2,"narrow",0.002
"172","GPANK1",1,"narrow",0.002
"173","GGPS1",4,"narrow",0.002
"174","HIBADH",1,"narrow",0.002
"175","PLCB3",5,"narrow",0.002
"176","ATP5MC2",9,"narrow",0.002
"177","VAMP3",6,"narrow",0.002
"178","BSG",1,"narrow",0.002
"179","KLHDC8B",4,"narrow",0.002
"180","CNOT3",1,"narrow",0.002
"181","RPS14",1,"narrow",0.002
"182","ABCD1",9,"narrow",0.002
"183","CZIB",1,"narrow",0.002
"184","ATP6V0E2",1,"narrow",0.002
"185","DAP",3,"narrow",0.002
"186","TMBIM4",10,"narrow",0.002
"187","PGRMC1",3,"narrow",0.002
"188","AP2A1",2,"narrow",0.002
"189","HSD17B11",2,"narrow",0.002
"190","THBS1",17,"narrow",0.002
"191","DCAF15",3,"narrow",0.002
"192","FANCA",8,"narrow",0.002
"193","MED11",3,"narrow",0.002
"194","NOC4L",3,"narrow",0.002
"195","PLCL2",1,"narrow",0.002
"196","UBFD1",1,"narrow",0.002
"197","SPRED2",1,"narrow",0.002
"198","PSMD10",3,"narrow",0.002
"199","RNF145",5,"narrow",0.002
"200","SYMPK",1,"narrow",0.002
"201","PI4KA",2,"narrow",0.002
"202","NDUFB6",2,"narrow",0.002
"203","EIF3H",15,"narrow",0.002
"204","SELENOP",3,"narrow",0.002
"205","KLHDC4",10,"narrow",0.002
"206","TMEM214",1,"narrow",0.002
"207","PANK4",13,"narrow",0.002
"208","PLK3",109,"narrow",0.002
"209","ZBTB48",6,"narrow",0.002
"210","GPN3",3,"narrow",0.002
"211","ZNF514",1,"narrow",0.002
"212","SLC5A3",2,"narrow",0.002
"213","CBR4",28,"narrow",0.002
"214","ARHGAP26",3,"narrow",0.002
"215","GMIP",54,"narrow",0.002
"216","TP53RK",2,"narrow",0.002
"217","CEP170B",43,"narrow",0.002
"218","CBLB",1,"narrow",0.002
"219","HSPA1B",22,"narrow",0.002
"220","RNF20",6,"narrow",0.002
"221","FAM72A",7,"narrow",0.002
"222","RPRD1A",1,"narrow",0.002
"223","LSM2",15,"narrow",0.002
"224","RGMB",7,"narrow",0.002
"225","NOTCH1",3,"narrow",0.002
"226","GMFB",7,"narrow",0.002
"227","RCBTB1",3,"narrow",0.002
"228","COX11",1,"narrow",0.002
"229","MAST2",4,"narrow",0.002
"230","TCIRG1",47,"narrow",0.002
"231","RPL29",13,"narrow",0.002
"232","FLNB",1,"narrow",0.002
"233","D2HGDH",1,"narrow",0.002
"234","UBE2D4",25,"narrow",0.002
"235","ATP6V1F",1,"narrow",0.002
"236","FAM76B",1,"narrow",0.002
"237","ZNF24",2,"narrow",0.002
"238","SNX3",1,"narrow",0.002
"239","RHOA",1,"narrow",0.002
"240","SND1",1,"narrow",0.002
"241","SRRT",8,"narrow",0.002
"242","GNAQ",9,"narrow",0.002
"243","YAF2",1,"narrow",0.002
"244","YIPF2",11,"narrow",0.002
"245","CHCHD7",5,"narrow",0.002
"246","PCNX3",1,"narrow",0.002
"247","HINT1",2,"narrow",0.002
"248","RPL7L1",1,"narrow",0.002
"249","ICMT",2,"narrow",0.002
"250","NAA38",37,"narrow",0.002
"251","COX7A2L",9,"narrow",0.002
"252","CCN1",1,"narrow",0.002
"253","ARMC9",1,"narrow",0.002
"254","RABGAP1L",2,"narrow",0.002
"255","BCL2L12",1,"narrow",0.002
"256","DET1",1,"narrow",0.002
"257","MTSS1",9,"narrow",0.002
"258","RTN2",1,"narrow",0.002
"259","VPS26C",2,"narrow",0.002
"260","ZBTB1",1,"narrow",0.002
"261","DIDO1",1,"narrow",0.002
"262","ABCF3",2,"narrow",0.002
"263","AGL",3,"narrow",0.002
"264","PRDX3",2,"narrow",0.002
"265","RPS6",1,"narrow",0.002
"266","DSTN",1,"narrow",0.002
"267","ZMPSTE24",1,"narrow",0.002
"268","BCL2L1",16,"narrow",0.002
"269","NUDT3",2,"narrow",0.002
"270","MFAP3",1,"narrow",0.002
"271","RPS6KA1",6,"narrow",0.002
"272","ANAPC13",7,"narrow",0.002
"273","SERINC3",7,"narrow",0.002
"274","FLII",1,"narrow",0.002
"275","MRPL10",1,"narrow",0.002
"276","ATG16L1",6,"narrow",0.002
"277","ATF7",1,"narrow",0.002
"278","TSR2",1,"narrow",0.002
"279","SLC35D2",1,"narrow",0.002
"280","GDE1",11,"narrow",0.002
"281","PARD6G",1,"narrow",0.002
"282","KIFC1",1,"narrow",0.002
"283","PHB",1,"narrow",0.002
"284","RPL37",1,"narrow",0.002
"285","PGS1",23,"narrow",0.002
"286","NASP",9,"narrow",0.002
"287","PIK3CD",98,"narrow",0.002
"288","CERS5",9,"narrow",0.002
"289","UBXN2B",10,"narrow",0.002
"290","DCAF12",2,"narrow",0.002
"291","MAP3K10",1,"narrow",0.002
"292","S100PBP",18,"narrow",0.002
"293","GRK6",24,"narrow",0.002
"294","PRR12",1,"narrow",0.002
"295","GNL2",21,"narrow",0.002
"296","SH3BGRL",4,"narrow",0.002
"297","RPL28",1,"narrow",0.002
"298","THUMPD1",1,"narrow",0.002
"299","COPG1",2,"narrow",0.002
