"","Gene","Count","Thresh.Name","Thresh.Value"
"1","HLA-G",7,"narrow",0.002
"2","GJB3",9,"narrow",0.002
"3","APOC4",16,"narrow",0.002
"4","DCN",57,"narrow",0.002
"5","AEN",17,"narrow",0.002
"6","BMP7",2,"narrow",0.002
"7","CYP2E1",19,"narrow",0.002
"8","MPHOSPH6",9,"narrow",0.002
"9","ID3",1,"narrow",0.002
"10","TMSB10",2,"narrow",0.002
"11","L1CAM",4,"narrow",0.002
"12","FSTL4",26,"narrow",0.002
"13","KRT5",3,"narrow",0.002
"14","PLEKHM3",1,"narrow",0.002
"15","NID1",21,"narrow",0.002
"16","ARHGAP28",164,"narrow",0.002
"17","NOTCH4",1,"narrow",0.002
"18","SLC19A3",5,"narrow",0.002
"19","LRFN5",1,"narrow",0.002
"20","ZNF257",3,"narrow",0.002
"21","CTSD",10,"narrow",0.002
"22","WDR35",1,"narrow",0.002
"23","PTGFR",1,"narrow",0.002
"24","PGLYRP2",2,"narrow",0.002
"25","HIGD1B",2,"narrow",0.002
"26","SLC39A6",2,"narrow",0.002
"27","IL27",3,"narrow",0.002
"28","CTSC",5,"narrow",0.002
"29","SLC25A28",1,"narrow",0.002
"30","ERICH2",4,"narrow",0.002
"31","MGAM2",14,"narrow",0.002
"32","APC2",1,"narrow",0.002
"33","IFIH1",3,"narrow",0.002
"34","CP",52,"narrow",0.002
"35","KRT13",2,"narrow",0.002
"36","LUM",5,"narrow",0.002
"37","DHRS2",2,"narrow",0.002
"38","ZG16B",10,"narrow",0.002
"39","SHOX2",2,"narrow",0.002
"40","GALNT8",1,"narrow",0.002
"41","AEBP1",27,"narrow",0.002
"42","C1QTNF7",40,"narrow",0.002
"43","IL17REL",11,"narrow",0.002
"44","SLC13A2",43,"narrow",0.002
"45","NEGR1",15,"narrow",0.002
"46","FZD8",1,"narrow",0.002
"47","IRF1",10,"narrow",0.002
"48","APOD",23,"narrow",0.002
"49","ASGR1",10,"narrow",0.002
"50","PDXK",2,"narrow",0.002
"51","IGFBP5",2,"narrow",0.002
"52","PMM1",1,"narrow",0.002
"53","B4GALNT4",5,"narrow",0.002
"54","SYNE1",1,"narrow",0.002
"55","PRSS21",2,"narrow",0.002
"56","NEUROG3",19,"narrow",0.002
"57","CPEB1",1,"narrow",0.002
"58","LYPLA2",2,"narrow",0.002
"59","LTBP3",2,"narrow",0.002
"60","C1QTNF2",8,"narrow",0.002
"61","PRAME",5,"narrow",0.002
"62","SIK1",1,"narrow",0.002
"63","TRPC4",58,"narrow",0.002
"64","CCSAP",2,"narrow",0.002
"65","FKBP4",1,"narrow",0.002
"66","GLDN",2,"narrow",0.002
"67","DHODH",1,"narrow",0.002
"68","PLRG1",3,"narrow",0.002
"69","SLC52A1",2,"narrow",0.002
"70","BBS1",5,"narrow",0.002
"71","OBSCN",17,"narrow",0.002
"72","RIPPLY2",1,"narrow",0.002
"73","UNC93A",7,"narrow",0.002
"74","UCN3",64,"narrow",0.002
"75","CDK5",4,"narrow",0.002
"76","MYBPC1",75,"narrow",0.002
"77","EFNB3",9,"narrow",0.002
"78","PCSK1",31,"narrow",0.002
"79","PRND",3,"narrow",0.002
"80","ADAMTSL1",25,"narrow",0.002
"81","MYLK",5,"narrow",0.002
"82","ASB11",2,"narrow",0.002
"83","KCNG3",1,"narrow",0.002
"84","RASSF9",2,"narrow",0.002
"85","TIGD7",1,"narrow",0.002
"86","FBXO5",2,"narrow",0.002
"87","CHRM3",33,"narrow",0.002
"88","NMUR2",15,"narrow",0.002
"89","TMEM119",63,"narrow",0.002
"90","SI",16,"narrow",0.002
"91","CDCA4",15,"narrow",0.002
"92","MTAP",16,"narrow",0.002
"93","MS4A8",1,"narrow",0.002
"94","CD274",53,"narrow",0.002
"95","FAM126A",14,"narrow",0.002
"96","CDH6",5,"narrow",0.002
"97","HAS1",1,"narrow",0.002
"98","ZMIZ1",15,"narrow",0.002
"99","RBCK1",1,"narrow",0.002
"100","PTCH2",3,"narrow",0.002
"101","C5",1,"narrow",0.002
"102","SULT1A4",18,"narrow",0.002
"103","GPR146",12,"narrow",0.002
"104","SYNDIG1",2,"narrow",0.002
"105","HGFAC",3,"narrow",0.002
"106","TIMP3",1,"narrow",0.002
"107","BTBD11",3,"narrow",0.002
"108","SMIM32",9,"narrow",0.002
"109","COL1A1",2,"narrow",0.002
"110","RNF212",8,"narrow",0.002
"111","CES1",5,"narrow",0.002
"112","CLEC3B",37,"narrow",0.002
"113","RCL1",52,"narrow",0.002
"114","THG1L",1,"narrow",0.002
"115","DPP7",34,"narrow",0.002
"116","CKM",11,"narrow",0.002
"117","P3H3",1,"narrow",0.002
"118","SVOP",3,"narrow",0.002
"119","CCDC178",8,"narrow",0.002
"120","TMPRSS11E",10,"narrow",0.002
"121","SLC13A5",12,"narrow",0.002
"122","DUOX1",1,"narrow",0.002
"123","PSPC1",4,"narrow",0.002
"124","EFHC2",17,"narrow",0.002
"125","ANKRD1",3,"narrow",0.002
"126","ROBO2",55,"narrow",0.002
"127","C1QTNF3",5,"narrow",0.002
"128","STK31",2,"narrow",0.002
"129","NETO2",3,"narrow",0.002
"130","CYP2W1",4,"narrow",0.002
"131","SLC66A1L",96,"narrow",0.002
