"","Gene","Count","Thresh.Name","Thresh.Value"
"1","B2M",42,"narrow",0.002
"2","EIF2S3B",4,"narrow",0.002
"3","RNASET2",1,"narrow",0.002
"4","NDUFS2",1,"narrow",0.002
"5","APOL6",37,"narrow",0.002
"6","NLRP1",5,"narrow",0.002
"7","MPP1",2,"narrow",0.002
"8","DRAM1",2,"narrow",0.002
"9","SP140",13,"narrow",0.002
"10","LY75-CD302",27,"narrow",0.002
"11","NBPF20",12,"narrow",0.002
"12","SAMHD1",1,"narrow",0.002
"13","PPP1R8",1,"narrow",0.002
"14","MPZL2",96,"narrow",0.002
"15","RAB32",2,"narrow",0.002
"16","MSANTD2",5,"narrow",0.002
"17","HLA-A",30,"narrow",0.002
"18","SH2D3C",13,"narrow",0.002
"19","IRF1",41,"narrow",0.002
"20","S100A4",1,"narrow",0.002
"21","IDO1",44,"narrow",0.002
"22","FCHSD1",1,"narrow",0.002
"23","S100A11",1,"narrow",0.002
"24","KAT2B",8,"narrow",0.002
"25","PSME1",5,"narrow",0.002
"26","HLA-DQB1",1,"narrow",0.002
"27","BLNK",7,"narrow",0.002
"28","ICE2",1,"narrow",0.002
"29","RNF180",2,"narrow",0.002
"30","PDS5B",3,"narrow",0.002
"31","ADRB2",5,"narrow",0.002
"32","MVP",4,"narrow",0.002
"33","MID2",1,"narrow",0.002
"34","WDFY1",8,"narrow",0.002
"35","APBB1IP",9,"narrow",0.002
"36","ZNF548",1,"narrow",0.002
"37","SLC17A5",10,"narrow",0.002
"38","PGGHG",1,"narrow",0.002
"39","SERPINA1",125,"narrow",0.002
"40","ATP8A1",28,"narrow",0.002
"41","APOL2",1,"narrow",0.002
"42","LACTB",23,"narrow",0.002
"43","TAS2R19",1,"narrow",0.002
"44","CD96",15,"narrow",0.002
"45","WWTR1",3,"narrow",0.002
"46","TLR3",52,"narrow",0.002
"47","SLC7A5",2,"narrow",0.002
"48","ICAM2",11,"narrow",0.002
"49","PLEKHF2",3,"narrow",0.002
"50","DHX9",2,"narrow",0.002
"51","C1QB",9,"narrow",0.002
"52","GRAP",20,"narrow",0.002
"53","SERPINB9",1,"narrow",0.002
"54","ANOS1",8,"narrow",0.002
"55","INPP5D",7,"narrow",0.002
"56","ITGA10",7,"narrow",0.002
"57","MMP16",1,"narrow",0.002
"58","TYMS",1,"narrow",0.002
"59","NCAPD3",3,"narrow",0.002
"60","P3H2",14,"narrow",0.002
"61","LMO4",1,"narrow",0.002
"62","C2",5,"narrow",0.002
"63","BTN3A3",17,"narrow",0.002
"64","CSTB",2,"narrow",0.002
"65","PAICS",9,"narrow",0.002
"66","GRAP2",5,"narrow",0.002
"67","TLR6",1,"narrow",0.002
"68","CORO1A",11,"narrow",0.002
"69","TCN2",9,"narrow",0.002
"70","UBE4B",6,"narrow",0.002
"71","ARHGAP30",18,"narrow",0.002
"72","ACTL6A",1,"narrow",0.002
"73","PTPRE",16,"narrow",0.002
"74","HAT1",1,"narrow",0.002
"75","HAVCR2",12,"narrow",0.002
"76","MSH6",3,"narrow",0.002
"77","NUP205",1,"narrow",0.002
"78","BST1",3,"narrow",0.002
"79","ACP5",1,"narrow",0.002
"80","CCNB1IP1",1,"narrow",0.002
"81","EP400",1,"narrow",0.002
"82","RASSF5",8,"narrow",0.002
"83","PSD4",13,"narrow",0.002
"84","SH3BGRL3",1,"narrow",0.002
"85","C1orf52",1,"narrow",0.002
"86","CSF1R",7,"narrow",0.002
"87","RNPEPL1",2,"narrow",0.002
"88","RNF19B",8,"narrow",0.002
"89","LXN",8,"narrow",0.002
"90","EMILIN2",1,"narrow",0.002
"91","IFI27",17,"narrow",0.002
"92","CRYBG1",2,"narrow",0.002
"93","RBM4B",4,"narrow",0.002
"94","CAV2",1,"narrow",0.002
"95","UBE2Q2L",10,"narrow",0.002
"96","DEF6",1,"narrow",0.002
"97","ST20",1,"narrow",0.002
"98","PRUNE2",22,"narrow",0.002
"99","SRP72",2,"narrow",0.002
"100","BTN3A2",19,"narrow",0.002
"101","DTX3L",22,"narrow",0.002
"102","FGD3",8,"narrow",0.002
"103","OGFRL1",3,"narrow",0.002
"104","USP21",1,"narrow",0.002
"105","ZFPM2",1,"narrow",0.002
"106","CASP8",1,"narrow",0.002
"107","SPEN",1,"narrow",0.002
"108","RASGEF1B",6,"narrow",0.002
"109","ZNF208",1,"narrow",0.002
"110","NLGN3",15,"narrow",0.002
"111","TMEM39B",1,"narrow",0.002
"112","BTK",24,"narrow",0.002
"113","STAT4",5,"narrow",0.002
"114","SEMA4A",1,"narrow",0.002
"115","CHCHD6",1,"narrow",0.002
"116","PLEK",11,"narrow",0.002
"117","TFAP2A",1,"narrow",0.002
"118","C1QA",10,"narrow",0.002
"119","HK3",1,"narrow",0.002
"120","CHML",1,"narrow",0.002
"121","CASP10",3,"narrow",0.002
"122","C1orf162",4,"narrow",0.002
"123","SIGLEC10",3,"narrow",0.002
"124","TM6SF1",2,"narrow",0.002
"125","SLC22A18",5,"narrow",0.002
"126","GRAMD1B",2,"narrow",0.002
"127","RAB11FIP1",4,"narrow",0.002
"128","BCL2A1",1,"narrow",0.002
"129","ST3GAL3",1,"narrow",0.002
"130","LYN",13,"narrow",0.002
"131","ZNF285",3,"narrow",0.002
"132","RBMX",8,"narrow",0.002
"133","DIAPH3",1,"narrow",0.002
"134","NFAM1",9,"narrow",0.002
"135","POLA1",1,"narrow",0.002
"136","ACSL5",27,"narrow",0.002
"137","CYB5R2",2,"narrow",0.002
"138","ZNF681",3,"narrow",0.002
"139","XAF1",1,"narrow",0.002
"140","ABCG1",11,"narrow",0.002
"141","CIB1",1,"narrow",0.002
"142","B4GALT6",1,"narrow",0.002
"143","TAP1",61,"narrow",0.002
"144","CSF2RA",6,"narrow",0.002
"145","MYOF",4,"narrow",0.002
"146","CADPS2",40,"narrow",0.002
"147","TTYH2",1,"narrow",0.002
"148","RGS10",3,"narrow",0.002
"149","GBP4",3,"narrow",0.002
"150","UCP2",1,"narrow",0.002
"151","RBP1",11,"narrow",0.002
"152","ADGRD1",2,"narrow",0.002
"153","VSIG4",1,"narrow",0.002
"154","SOCS2",27,"narrow",0.002
"155","TUFT1",6,"narrow",0.002
"156","IARS2",1,"narrow",0.002
"157","TBXAS1",16,"narrow",0.002
"158","MTR",3,"narrow",0.002
"159","LGALS9",5,"narrow",0.002
"160","LILRB3",4,"narrow",0.002
"161","TPK1",2,"narrow",0.002
"162","DNASE1",25,"narrow",0.002
"163","DUSP23",1,"narrow",0.002
"164","HCK",11,"narrow",0.002
"165","GMIP",1,"narrow",0.002
"166","CD3D",7,"narrow",0.002
"167","SYK",7,"narrow",0.002
"168","ABCB10",1,"narrow",0.002
"169","CTDSPL2",1,"narrow",0.002
"170","SERPINB1",2,"narrow",0.002
"171","CLIC2",30,"narrow",0.002
"172","PIBF1",4,"narrow",0.002
"173","ZSCAN2",1,"narrow",0.002
"174","ACSL1",1,"narrow",0.002
"175","PPP3CC",3,"narrow",0.002
"176","TSPAN7",2,"narrow",0.002
"177","DKK3",3,"narrow",0.002
"178","HLA-DRB1",22,"narrow",0.002
"179","NFKBIA",2,"narrow",0.002
"180","UTRN",6,"narrow",0.002
"181","PRKCB",6,"narrow",0.002
"182","CASP1",36,"narrow",0.002
"183","ISG20",5,"narrow",0.002
"184","CA2",3,"narrow",0.002
"185","RASGRP2",1,"narrow",0.002
"186","PNRC1",3,"narrow",0.002
"187","MAN1A1",1,"narrow",0.002
"188","PRKAG2",4,"narrow",0.002
"189","FERMT3",5,"narrow",0.002
"190","SGIP1",7,"narrow",0.002
"191","CD2",29,"narrow",0.002
"192","CTSH",2,"narrow",0.002
"193","IGKV1-33",4,"narrow",0.002
"194","SAMSN1",6,"narrow",0.002
"195","HLA-DQA1",14,"narrow",0.002
"196","BPTF",1,"narrow",0.002
"197","LIFR",26,"narrow",0.002
"198","TRIM22",24,"narrow",0.002
"199","STAT2",1,"narrow",0.002
"200","JADE2",1,"narrow",0.002
"201","F3",1,"narrow",0.002
"202","CCDC141",13,"narrow",0.002
"203","JCHAIN",5,"narrow",0.002
"204","STK17A",1,"narrow",0.002
"205","ITGAL",14,"narrow",0.002
"206","HNRNPR",5,"narrow",0.002
"207","PIM2",7,"narrow",0.002
"208","SNCA",2,"narrow",0.002
"209","ZNF154",2,"narrow",0.002
"210","ZNF239",3,"narrow",0.002
"211","RASSF4",3,"narrow",0.002
"212","ZDBF2",2,"narrow",0.002
"213","RERE",6,"narrow",0.002
"214","CD3G",13,"narrow",0.002
"215","SLC66A3",2,"narrow",0.002
"216","DAAM2",1,"narrow",0.002
