,feature,model,i,tissue,y_true,pred_bin,pred_prob
0,IMPRES,LR,0,KIRC,0,0,0.4995203667338731
1,IMPRES,LR,1,KIRC,0,0,0.4995203667338731
2,IMPRES,LR,2,KIRC,0,0,0.47607631904502423
3,IMPRES,LR,3,KIRC,0,0,0.48332243182819384
4,IMPRES,LR,4,KIRC,1,0,0.49949914054471384
5,IMPRES,LR,5,KIRC,0,1,0.5191578641743773
6,IMPRES,LR,6,KIRC,0,1,0.5088063656457958
7,IMPRES,LR,7,KIRC,0,0,0.499520366733873
8,IMPRES,LR,8,KIRC,1,1,0.5075733054207174
9,IMPRES,LR,9,KIRC,0,0,0.48332243182819384
10,IMPRES,LR,10,KIRC,1,1,0.5075733054207173
11,IMPRES,LR,11,KIRC,0,1,0.5088063656457958
12,IMPRES,LR,12,KIRC,0,1,0.5088063656457958
13,IMPRES,LR,13,KIRC,1,1,0.5181267050932783
14,IMPRES,LR,14,KIRC,1,0,0.49949914054471384
15,IMPRES,LR,15,KIRC,0,0,0.49108537390062507
16,IMPRES,LR,16,KIRC,1,0,0.49949914054471384
17,IMPRES,LR,17,KIRC,0,1,0.5088063656457958
18,IMPRES,LR,18,KIRC,0,1,0.5088063656457958
19,IMPRES,LR,19,KIRC,0,0,0.48332243182819384
20,IMPRES,LR,20,KIRC,0,0,0.4995203667338731
21,IMPRES,LR,21,KIRC,0,0,0.48332243182819384
22,IMPRES,LR,22,KIRC,1,1,0.5075733054207173
23,IMPRES,LR,23,KIRC,0,0,0.4995203667338731
24,IMPRES,LR,24,KIRC,1,0,0.46110443684336294
25,IMPRES,LR,25,KIRC,0,0,0.48332243182819395
26,IMPRES,LR,26,KIRC,0,0,0.4995203667338731
27,IMPRES,LR,27,KIRC,0,0,0.4995203667338731
28,IMPRES,LR,28,KIRC,0,1,0.5088063656457958
29,IMPRES,LR,29,KIRC,0,0,0.4995203667338731
30,IMPRES,LR,30,KIRC,0,0,0.4995203667338731
31,IMPRES,LR,31,KIRC,0,0,0.4995203667338731
32,IMPRES,LR,32,KIRC,1,0,0.48931053141589553
33,IMPRES,LR,33,KIRC,0,1,0.5088063656457958
34,IMPRES,LR,34,KIRC,0,0,0.4995203667338731
35,IMPRES,LR,35,KIRC,0,0,0.49108537390062507
36,IMPRES,LR,36,KIRC,0,0,0.49108537390062507
37,IMPRES,LR,37,KIRC,1,1,0.5075733054207173
38,IMPRES,LR,38,KIRC,0,1,0.5088063656457958
39,IMPRES,LR,39,KIRC,1,1,0.5075733054207174
40,IMPRES,LR,40,KIRC,0,0,0.49108537390062507
41,IMPRES,LR,41,KIRC,0,0,0.49108537390062507
42,IMPRES,LR,42,KIRC,0,0,0.4995203667338731
43,IMPRES,LR,43,KIRC,0,0,0.4995203667338731
44,IMPRES,LR,44,KIRC,0,0,0.4995203667338731
45,IMPRES,LR,45,KIRC,1,0,0.49949914054471384
46,IMPRES,LR,46,KIRC,0,1,0.5088063656457958
47,IMPRES,LR,47,KIRC,0,1,0.5088063656457958
48,IMPRES,LR,48,KIRC,0,0,0.48332243182819384
49,IMPRES,LR,49,KIRC,1,0,0.49949914054471384
50,IMPRES,LR,50,KIRC,0,0,0.4995203667338731
51,IMPRES,LR,51,KIRC,0,1,0.5088063656457958
52,IMPRES,LR,52,KIRC,1,0,0.49949914054471384
53,IMPRES,LR,53,KIRC,1,0,0.49949914054471384
54,IMPRES,LR,54,KIRC,0,1,0.5308398994865346
55,IMPRES,LR,55,KIRC,0,1,0.5088063656457958
56,IMPRES,LR,56,KIRC,0,0,0.48332243182819384
57,IMPRES,LR,57,KIRC,0,1,0.5088063656457958
58,IMPRES,LR,58,KIRC,1,1,0.5075733054207174
59,IMPRES,LR,59,KIRC,0,0,0.48332243182819384
60,IMPRES,LR,60,KIRC,0,1,0.5191578641743773
61,IMPRES,LR,61,KIRC,0,0,0.48332243182819384
62,IMPRES,LR,62,KIRC,0,1,0.5088063656457958
63,IMPRES,LR,63,KIRC,1,0,0.48931053141589553
64,IMPRES,LR,64,KIRC,1,0,0.49949914054471384
65,IMPRES,LR,65,KIRC,0,0,0.49108537390062507
66,IMPRES,LR,66,KIRC,1,0,0.49949914054471384
67,IMPRES,LR,67,KIRC,1,1,0.5137467126047502
68,IMPRES,LR,68,KIRC,0,1,0.5088063656457958
69,IMPRES,LR,69,KIRC,0,0,0.499520366733873
70,IMPRES,LR,70,KIRC,0,0,0.49108537390062507
71,IMPRES,LR,71,KIRC,1,1,0.5137467126047502
72,IMPRES,LR,72,KIRC,0,0,0.499520366733873
73,IMPRES,LR,73,KIRC,1,0,0.48931053141589553
74,IMPRES,LR,74,KIRC,0,1,0.5088063656457958
75,IMPRES,LR,75,KIRC,0,0,0.49108537390062507
76,IMPRES,LR,76,KIRC,0,0,0.499520366733873
77,IMPRES,LR,77,KIRC,1,1,0.5075733054207174
78,IMPRES,LR,78,KIRC,0,1,0.508806365645796
79,IMPRES,LR,79,KIRC,1,0,0.49949914054471384
80,IMPRES,LR,80,KIRC,0,1,0.5088063656457958
81,IMPRES,LR,81,KIRC,0,1,0.5191578641743771
82,IMPRES,LR,82,KIRC,1,0,0.49949914054471384
83,IMPRES,LR,83,KIRC,1,0,0.49949914054471384
84,IMPRES,LR,84,KIRC,0,0,0.49108537390062507
85,IMPRES,LR,85,KIRC,1,1,0.5075733054207174
86,IMPRES,LR,86,KIRC,0,1,0.5088063656457958
87,IMPRES,LR,87,KIRC,0,1,0.5088063656457958
88,IMPRES,LR,88,KIRC,1,0,0.49949914054471384
89,IMPRES,LR,89,KIRC,0,0,0.49108537390062507
90,IMPRES,LR,90,KIRC,1,0,0.46110443684336283
91,IMPRES,LR,91,KIRC,0,1,0.508806365645796
92,IMPRES,LR,92,KIRC,1,0,0.49949914054471384
93,IMPRES,LR,93,KIRC,0,0,0.49108537390062507
94,IMPRES,LR,94,KIRC,0,1,0.508806365645796
95,IMPRES,LR,95,KIRC,0,0,0.499520366733873
96,IMPRES,LR,96,KIRC,0,1,0.5191578641743773
97,IMPRES,LR,97,KIRC,0,0,0.4995203667338731
98,IMPRES,LR,98,KIRC,0,0,0.49108537390062507
99,IMPRES,LR,99,KIRC,0,0,0.499520366733873
100,IMPRES,LR,100,KIRC,0,0,0.48332243182819384
101,IMPRES,LR,101,KIRC,0,0,0.49108537390062507
102,IMPRES,LR,102,KIRC,1,0,0.49949914054471384
103,IMPRES,LR,103,KIRC,0,1,0.5191578641743773
104,IMPRES,LR,104,KIRC,0,0,0.4995203667338731
105,IMPRES,LR,105,KIRC,0,0,0.4995203667338731
106,IMPRES,LR,106,KIRC,1,0,0.48931053141589553
107,IMPRES,LR,107,KIRC,0,1,0.5191578641743773
108,IMPRES,LR,108,KIRC,1,1,0.5137467126047502
109,IMPRES,LR,109,KIRC,1,0,0.49949914054471384
110,IMPRES,LR,110,KIRC,0,1,0.5088063656457958
111,IMPRES,LR,111,KIRC,0,0,0.49108537390062507
112,IMPRES,LR,112,KIRC,1,1,0.5075733054207173
113,IMPRES,LR,113,KIRC,1,1,0.5075733054207173
114,IMPRES,LR,114,KIRC,0,0,0.4995203667338731
115,IMPRES,LR,115,KIRC,0,0,0.4995203667338731
116,IMPRES,LR,116,KIRC,0,1,0.5088063656457958
117,IMPRES,LR,117,KIRC,1,0,0.49949914054471384
118,IMPRES,LR,118,KIRC,0,1,0.5088063656457958
119,IMPRES,LR,119,KIRC,0,0,0.4995203667338731
120,IMPRES,LR,120,KIRC,0,0,0.48332243182819384
121,IMPRES,LR,121,KIRC,0,0,0.49108537390062507
122,IMPRES,LR,122,KIRC,0,1,0.508806365645796
123,IMPRES,LR,123,KIRC,0,1,0.5191578641743773
124,IMPRES,LR,124,KIRC,1,0,0.49949914054471384
125,IMPRES,LR,125,KIRC,0,0,0.49108537390062507
126,IMPRES,LR,126,KIRC,0,0,0.49108537390062507
127,IMPRES,LR,127,KIRC,1,0,0.48931053141589553
128,IMPRES,LR,128,KIRC,0,1,0.5191578641743773
129,IMPRES,LR,129,KIRC,1,1,0.5075733054207173
130,IMPRES,LR,130,KIRC,0,0,0.49108537390062507
131,IMPRES,LR,131,KIRC,0,0,0.4995203667338731
132,IMPRES,LR,132,KIRC,0,0,0.4995203667338731
133,IMPRES,LR,133,KIRC,0,0,0.49108537390062507
134,IMPRES,LR,134,KIRC,1,0,0.49949914054471384
135,IMPRES,LR,135,KIRC,0,0,0.4995203667338731
136,IMPRES,LR,136,KIRC,0,0,0.48332243182819384
137,IMPRES,LR,137,KIRC,0,1,0.508806365645796
138,IMPRES,LR,138,KIRC,0,1,0.508806365645796
139,IMPRES,LR,139,KIRC,0,0,0.4995203667338731
140,IMPRES,LR,140,KIRC,0,1,0.5088063656457958
141,IMPRES,LR,141,KIRC,0,0,0.4995203667338731
142,IMPRES,LR,142,KIRC,0,0,0.4692054796548618
143,IMPRES,LR,143,KIRC,0,1,0.5088063656457958
144,IMPRES,LR,144,KIRC,0,0,0.49108537390062507
145,IMPRES,LR,145,KIRC,0,0,0.4995203667338731
146,IMPRES,LR,146,KIRC,1,0,0.49949914054471384
147,IMPRES,LR,147,KIRC,1,0,0.49949914054471384
148,IMPRES,LR,148,KIRC,0,0,0.48332243182819384
149,IMPRES,LR,149,KIRC,0,0,0.4995203667338731
150,IMPRES,LR,150,KIRC,0,1,0.508806365645796
151,IMPRES,LR,151,KIRC,0,0,0.49108537390062507
152,IMPRES,LR,152,KIRC,1,0,0.47667327906903506
153,IMPRES,LR,153,KIRC,1,0,0.47667327906903506
154,IMPRES,LR,154,KIRC,1,0,0.49949914054471384
155,IMPRES,LR,155,KIRC,0,0,0.4995203667338731
156,IMPRES,LR,156,KIRC,0,0,0.48332243182819384
157,IMPRES,LR,157,KIRC,0,0,0.49108537390062507
158,IMPRES,LR,158,KIRC,0,1,0.508806365645796
159,IMPRES,LR,159,KIRC,1,1,0.5075733054207174
160,IMPRES,LR,160,KIRC,1,1,0.5075733054207174
161,IMPRES,LR,161,KIRC,0,0,0.49108537390062507
162,IMPRES,LR,162,KIRC,0,1,0.508806365645796
163,IMPRES,LR,163,KIRC,0,0,0.4995203667338731
164,IMPRES,LR,164,KIRC,0,0,0.4995203667338731
165,IMPRES,LR,165,KIRC,0,1,0.5191578641743773
166,IMPRES,LR,166,KIRC,1,0,0.49949914054471384
167,IMPRES,KNN,0,KIRC,0,0,0.5
168,IMPRES,KNN,1,KIRC,0,0,0.5
169,IMPRES,KNN,2,KIRC,0,0,0.4
170,IMPRES,KNN,3,KIRC,0,0,0.2
171,IMPRES,KNN,4,KIRC,1,0,0.0
172,IMPRES,KNN,5,KIRC,0,0,0.25
173,IMPRES,KNN,6,KIRC,0,0,0.375
174,IMPRES,KNN,7,KIRC,0,0,0.3
175,IMPRES,KNN,8,KIRC,1,0,0.25
176,IMPRES,KNN,9,KIRC,0,0,0.2
177,IMPRES,KNN,10,KIRC,1,0,0.25
178,IMPRES,KNN,11,KIRC,0,0,0.375
179,IMPRES,KNN,12,KIRC,0,0,0.375
180,IMPRES,KNN,13,KIRC,1,0,0.25
181,IMPRES,KNN,14,KIRC,1,0,0.0
182,IMPRES,KNN,15,KIRC,0,0,0.3
183,IMPRES,KNN,16,KIRC,1,0,0.0
184,IMPRES,KNN,17,KIRC,0,0,0.5
185,IMPRES,KNN,18,KIRC,0,0,0.5
186,IMPRES,KNN,19,KIRC,0,0,0.2
187,IMPRES,KNN,20,KIRC,0,0,0.3
188,IMPRES,KNN,21,KIRC,0,0,0.2
189,IMPRES,KNN,22,KIRC,1,0,0.125
190,IMPRES,KNN,23,KIRC,0,0,0.3
191,IMPRES,KNN,24,KIRC,1,0,0.3
192,IMPRES,KNN,25,KIRC,0,0,0.2
193,IMPRES,KNN,26,KIRC,0,0,0.0
194,IMPRES,KNN,27,KIRC,0,0,0.0
195,IMPRES,KNN,28,KIRC,0,0,0.125
196,IMPRES,KNN,29,KIRC,0,0,0.0
197,IMPRES,KNN,30,KIRC,0,0,0.0
198,IMPRES,KNN,31,KIRC,0,0,0.0
199,IMPRES,KNN,32,KIRC,1,0,0.5
200,IMPRES,KNN,33,KIRC,0,0,0.125
201,IMPRES,KNN,34,KIRC,0,0,0.0
202,IMPRES,KNN,35,KIRC,0,0,0.5
203,IMPRES,KNN,36,KIRC,0,0,0.5
204,IMPRES,KNN,37,KIRC,1,0,0.16666666666666666
205,IMPRES,KNN,38,KIRC,0,0,0.3333333333333333
206,IMPRES,KNN,39,KIRC,1,0,0.16666666666666666
207,IMPRES,KNN,40,KIRC,0,0,0.5
208,IMPRES,KNN,41,KIRC,0,0,0.5
209,IMPRES,KNN,42,KIRC,0,0,0.0
210,IMPRES,KNN,43,KIRC,0,0,0.0
211,IMPRES,KNN,44,KIRC,0,0,0.0
212,IMPRES,KNN,45,KIRC,1,0,0.0
213,IMPRES,KNN,46,KIRC,0,0,0.25
214,IMPRES,KNN,47,KIRC,0,0,0.25
215,IMPRES,KNN,48,KIRC,0,0,0.0
216,IMPRES,KNN,49,KIRC,1,0,0.25
217,IMPRES,KNN,50,KIRC,0,0,0.25
218,IMPRES,KNN,51,KIRC,0,0,0.0
219,IMPRES,KNN,52,KIRC,1,0,0.25
220,IMPRES,KNN,53,KIRC,1,0,0.25
221,IMPRES,KNN,54,KIRC,0,0,0.25
222,IMPRES,KNN,55,KIRC,0,0,0.0
223,IMPRES,KNN,56,KIRC,0,0,0.0
224,IMPRES,KNN,57,KIRC,0,0,0.0
225,IMPRES,KNN,58,KIRC,1,0,0.0
226,IMPRES,KNN,59,KIRC,0,0,0.0
227,IMPRES,KNN,60,KIRC,0,0,0.25
228,IMPRES,KNN,61,KIRC,0,0,0.0
229,IMPRES,KNN,62,KIRC,0,0,0.0
