Run_ID,Response
A101D_SKIN,0
A2058_SKIN,1
A375_SKIN,0
C32_SKIN,0
CJM_SKIN,0
COLO792_SKIN,1
COLO800_SKIN,0
COLO829_SKIN,0
G361_SKIN,1
HMCB_SKIN,0
HS294T_SKIN,1
HS688AT_FIBROBLAST,0
HS839T_FIBROBLAST,0
HS852T_SKIN,0
HS895T_FIBROBLAST,0
HS934T_FIBROBLAST,1
HS936T_SKIN,0
HS940T_FIBROBLAST,1
HS944T_SKIN,0
HT144_SKIN,0
IGR1_SKIN,0
IGR37_SKIN,0
IGR39_SKIN,0
IPC298_SKIN,0
K029AX_SKIN,0
LOXIMVI_SKIN,0
MALME3M_SKIN,1
MDAMB435S_SKIN,0
MELHO_SKIN,1
MELJUSO_SKIN,0
MEWO_SKIN,0
RPMI7951_SKIN,0
RVH421_SKIN,1
SH4_SKIN,1
SKMEL1_SKIN,0
SKMEL24_SKIN,1
SKMEL28_SKIN,0
SKMEL3_SKIN,1
SKMEL30_SKIN,0
SKMEL31_SKIN,0
SKMEL5_SKIN,1
UACC257_SKIN,1
UACC62_SKIN,0
WM115_SKIN,0
WM1799_SKIN,0
WM2664_SKIN,0
WM793_SKIN,0
WM88_SKIN,0
WM983B_SKIN,0
