,iter,drug,tissue,model,penalty,preproc,J,p,balance_weights,feature,feat_dim,network_weight,connectivity,acc,tp,tn,fp,fn,roc_auc,brier,log_loss
0,0,Atezo,BLCA,LR,0.01,robust,3,4,True,WM,12,weighted,tight,0.48,15,21,37,2,0.5760649087221095,0.2376822103216655,0.6658723492148947
1,1,Atezo,BLCA,LR,0.98,robust,3,4,True,WM,12,weighted,tight,0.49333333333333335,14,23,35,3,0.6622718052738337,0.23438476023636995,0.6516157630607015
2,2,Atezo,BLCA,LR,0.01,robust,3,4,True,WM,12,weighted,tight,0.4666666666666667,8,27,31,9,0.460446247464503,0.24561321324975188,0.6799446460482457
3,0,Atezo,BLCA,LR,0.61,standardize,3,4,True,WM,12,weighted,tight,0.5066666666666667,13,25,33,4,0.6582150101419878,0.23444289944070779,0.6590267400583422
4,1,Atezo,BLCA,LR,0.32,standardize,3,4,True,WM,12,weighted,tight,0.56,9,33,25,8,0.5182555780933062,0.23622783760773122,0.6571422359795033
5,2,Atezo,BLCA,LR,0.93,standardize,3,4,True,WM,12,weighted,tight,0.5866666666666667,15,29,29,2,0.627789046653144,0.2408218244099918,0.6717430466042204
6,0,Atezo,BLCA,LR,0.92,robust,3,4,False,WM,12,weighted,tight,0.7733333333333333,0,58,0,17,0.5314401622718052,0.17562327503064015,0.533838453223868
7,1,Atezo,BLCA,LR,0.01,robust,3,4,False,WM,12,weighted,tight,0.7733333333333333,0,58,0,17,0.5578093306288032,0.17322162554163578,0.5284589219240297
8,2,Atezo,BLCA,LR,0.01,robust,3,4,False,WM,12,weighted,tight,0.7733333333333333,0,58,0,17,0.5294117647058824,0.17318843354888902,0.5254970897783019
9,0,Atezo,BLCA,LR,0.01,standardize,3,4,False,WM,12,weighted,tight,0.7733333333333333,0,58,0,17,0.5578093306288032,0.17140705796107775,0.5209128872436641
10,1,Atezo,BLCA,LR,0.01,standardize,3,4,False,WM,12,weighted,tight,0.7733333333333333,0,58,0,17,0.6206896551724138,0.16935787079651174,0.5158156996323237
11,2,Atezo,BLCA,LR,0.01,standardize,3,4,False,WM,12,weighted,tight,0.7733333333333333,0,58,0,17,0.5831643002028397,0.17297228887360708,0.5280222787025053
12,0,Atezo,BLCA,LR,0.01,robust,3,4,True,WM_Norm,12,weighted,tight,0.5333333333333333,5,35,23,12,0.5,0.24409957659996598,0.6811356291775007
13,1,Atezo,BLCA,LR,0.99,robust,3,4,True,WM_Norm,12,weighted,tight,0.52,10,29,29,7,0.49999999999999994,0.2572844105127737,0.7077664111585551
14,2,Atezo,BLCA,LR,0.01,robust,3,4,True,WM_Norm,12,weighted,tight,0.48,9,27,31,8,0.5273833671399595,0.24946977732262363,0.6919768450258894
15,0,Atezo,BLCA,LR,0.08,standardize,3,4,True,WM_Norm,12,weighted,tight,0.6533333333333333,11,38,20,6,0.7089249492900609,0.23944798117852453,0.671872794747261
16,1,Atezo,BLCA,LR,0.04,standardize,3,4,True,WM_Norm,12,weighted,tight,0.56,7,35,23,10,0.4066937119675456,0.2628392454546715,0.7202115132284688
17,2,Atezo,BLCA,LR,0.98,standardize,3,4,True,WM_Norm,12,weighted,tight,0.48,5,31,27,12,0.3661257606490872,0.27908621535556466,0.7697742174994525
18,0,Atezo,BLCA,LR,0.01,robust,3,4,False,WM_Norm,12,weighted,tight,0.7733333333333333,0,58,0,17,0.5070993914807302,0.17616317625342784,0.5373797225036255
19,1,Atezo,BLCA,LR,0.65,robust,3,4,False,WM_Norm,12,weighted,tight,0.7733333333333333,0,58,0,17,0.4411764705882353,0.183101863763793,0.5573188234588939
20,2,Atezo,BLCA,LR,0.02,robust,3,4,False,WM_Norm,12,weighted,tight,0.7733333333333333,0,58,0,17,0.41683569979716023,0.1851390529639943,0.5638890364867308
21,0,Atezo,BLCA,LR,0.01,standardize,3,4,False,WM_Norm,12,weighted,tight,0.7733333333333333,0,58,0,17,0.6277890466531441,0.17232451117533373,0.5266454644653179
22,1,Atezo,BLCA,LR,0.85,standardize,3,4,False,WM_Norm,12,weighted,tight,0.7733333333333333,0,58,0,17,0.5294117647058824,0.17783301627422357,0.5378594433720318
23,2,Atezo,BLCA,LR,1.0,standardize,3,4,False,WM_Norm,12,weighted,tight,0.7733333333333333,0,58,0,17,0.45030425963488846,0.188451262600192,0.576505220104695
24,0,Atezo,BLCA,LR,0.01,robust,3,4,True,TARGET,1,weighted,tight,0.5866666666666667,9,35,23,8,0.5425963488843814,0.24935656133446873,0.6918616940626047
25,1,Atezo,BLCA,LR,0.01,robust,3,4,True,TARGET,1,weighted,tight,0.68,11,40,18,6,0.7008113590263692,0.24938767294504122,0.6919225210809672
26,2,Atezo,BLCA,LR,0.01,robust,3,4,True,TARGET,1,weighted,tight,0.6,8,37,21,9,0.5385395537525355,0.2498940276369126,0.6929406413009706
27,0,Atezo,BLCA,LR,0.01,standardize,3,4,True,TARGET,1,weighted,tight,0.5733333333333334,9,34,24,8,0.552738336713996,0.24928390778773482,0.6917176655506533
28,1,Atezo,BLCA,LR,0.01,standardize,3,4,True,TARGET,1,weighted,tight,0.5466666666666666,7,34,24,10,0.5334685598377282,0.2485760793828096,0.6903005191779281
29,2,Atezo,BLCA,LR,0.01,standardize,3,4,True,TARGET,1,weighted,tight,0.68,10,41,17,7,0.6247464503042597,0.24764828266573924,0.6884445359522487
30,0,Atezo,BLCA,LR,0.01,robust,3,4,False,TARGET,1,weighted,tight,0.7733333333333333,0,58,0,17,0.6724137931034484,0.17502613162483163,0.5344723696650298
31,1,Atezo,BLCA,LR,0.01,robust,3,4,False,TARGET,1,weighted,tight,0.7733333333333333,0,58,0,17,0.5567951318458417,0.1749576640198254,0.534262641684641
32,2,Atezo,BLCA,LR,0.01,robust,3,4,False,TARGET,1,weighted,tight,0.7733333333333333,0,58,0,17,0.5425963488843814,0.17513397688346719,0.5347420389314108
33,0,Atezo,BLCA,LR,0.01,standardize,3,4,False,TARGET,1,weighted,tight,0.7733333333333333,0,58,0,17,0.5872210953346857,0.1746258656906355,0.5333370088228329
34,1,Atezo,BLCA,LR,0.01,standardize,3,4,False,TARGET,1,weighted,tight,0.7733333333333333,0,58,0,17,0.4472616632860041,0.17659467844985507,0.5388235217018701
35,2,Atezo,BLCA,LR,0.01,standardize,3,4,False,TARGET,1,weighted,tight,0.7733333333333333,0,58,0,17,0.5628803245436105,0.17479190477171797,0.533747430486071
36,0,Atezo,BLCA,LR,0.01,robust,3,4,True,IMPRES,1,weighted,tight,0.5066666666666667,12,26,32,5,0.6318458417849899,0.24794541600223913,0.6890361545566442
37,1,Atezo,BLCA,LR,0.01,robust,3,4,True,IMPRES,1,weighted,tight,0.4,10,20,38,7,0.46906693711967545,0.25132916755278994,0.6958050101848997
38,2,Atezo,BLCA,LR,0.01,robust,3,4,True,IMPRES,1,weighted,tight,0.52,13,26,32,4,0.6739350912778904,0.24825459119039872,0.6896555571867838
39,0,Atezo,BLCA,LR,0.01,standardize,3,4,True,IMPRES,1,weighted,tight,0.4533333333333333,12,22,36,5,0.6130831643002028,0.2481913591250752,0.6895157169533602
40,1,Atezo,BLCA,LR,0.01,standardize,3,4,True,IMPRES,1,weighted,tight,0.4533333333333333,12,22,36,5,0.5720081135902637,0.24733364473181718,0.6877922832266001
41,2,Atezo,BLCA,LR,0.01,standardize,3,4,True,IMPRES,1,weighted,tight,0.4533333333333333,11,23,35,6,0.6166328600405679,0.24692639536050948,0.686986455842494
42,0,Atezo,BLCA,LR,0.01,robust,3,4,False,IMPRES,1,weighted,tight,0.7733333333333333,0,58,0,17,0.5704868154158215,0.17455015274058858,0.5331196534168403
43,1,Atezo,BLCA,LR,0.01,robust,3,4,False,IMPRES,1,weighted,tight,0.7733333333333333,0,58,0,17,0.6566937119675457,0.1743793643404553,0.5326526740460987
44,2,Atezo,BLCA,LR,0.01,robust,3,4,False,IMPRES,1,weighted,tight,0.7733333333333333,0,58,0,17,0.4847870182555781,0.17521711844198515,0.5349779949797508
45,0,Atezo,BLCA,LR,0.01,standardize,3,4,False,IMPRES,1,weighted,tight,0.7733333333333333,0,58,0,17,0.5892494929006085,0.17402690489896452,0.5315789197838292
46,1,Atezo,BLCA,LR,0.01,standardize,3,4,False,IMPRES,1,weighted,tight,0.7733333333333333,0,58,0,17,0.7074036511156186,0.1736163823110388,0.530466306825211
47,2,Atezo,BLCA,LR,0.01,standardize,3,4,False,IMPRES,1,weighted,tight,0.7733333333333333,0,58,0,17,0.5542596348884381,0.17416652891111706,0.5319239533064712
