,iter,drug,tissue,model,feature,BIC,train_size,acc,tp,tn,fp,fn,roc_auc,brier,log_loss
0,0,Atezo,KIRC,LR,IMPRES,1.3924796285578802,0.1,0.5496688741721855,13,70,37,31,0.5249575191163975,0.2479481505778678,0.6890426702386383
1,1,Atezo,KIRC,LR,IMPRES,1.400959971905995,0.1,0.543046357615894,15,67,40,29,0.5211342395921835,0.24885841338018888,0.6908628901670716
2,2,Atezo,KIRC,LR,IMPRES,1.393172910315781,0.1,0.543046357615894,14,68,39,30,0.5212404418011896,0.24974188241931153,0.6926308783781637
3,3,Atezo,KIRC,LR,IMPRES,1.386811957862197,0.1,0.46357615894039733,36,34,73,8,0.5358963466440102,0.25014967669199756,0.6934465371178645
4,4,Atezo,KIRC,LR,IMPRES,1.4010268679768856,0.1,0.45695364238410596,35,34,73,9,0.5230458793542907,0.25062139517409476,0.6943901150535857
5,5,Atezo,KIRC,LR,IMPRES,1.3872126602923374,0.1,0.47019867549668876,38,33,74,6,0.5404630416312659,0.2500110159087323,0.6931692110092504
6,6,Atezo,KIRC,LR,IMPRES,1.3894174344451273,0.1,0.5562913907284768,15,69,38,29,0.5352591333899746,0.24937817827963532,0.6919034435828613
7,7,Atezo,KIRC,LR,IMPRES,1.3988305334368965,0.1,0.5364238410596026,15,66,41,29,0.5230458793542906,0.2495115227270084,0.6921690734329116
8,8,Atezo,KIRC,LR,IMPRES,1.3870277781063778,0.1,0.46357615894039733,36,34,73,8,0.5324978759558199,0.2503567972324192,0.6938607869286814
9,9,Atezo,KIRC,LR,IMPRES,1.387931480061468,0.1,0.5231788079470199,7,72,35,37,0.4511469838572642,0.25020085111971657,0.6935489020585623
10,10,Atezo,KIRC,LR,IMPRES,1.3905256120749954,0.1,0.5496688741721855,14,69,38,30,0.5279311809685641,0.2488435270068963,0.6908339204284251
11,11,Atezo,KIRC,LR,IMPRES,1.4006825316474047,0.1,0.5165562913907285,7,71,36,37,0.43118096856414617,0.24990304683852782,0.6929533446591903
12,12,Atezo,KIRC,LR,IMPRES,1.389957680430495,0.1,0.4370860927152318,27,39,68,17,0.4481733220050978,0.25094136267340195,0.6950303076735325
13,13,Atezo,KIRC,LR,IMPRES,1.3909552111931343,0.1,0.4304635761589404,28,37,70,16,0.4421197960917587,0.2510929369415883,0.6953334928657317
14,14,Atezo,KIRC,LR,IMPRES,1.3875784658930121,0.1,0.4503311258278146,30,38,69,14,0.45592608326253187,0.2503199172116774,0.6937870342705437
15,15,Atezo,KIRC,LR,IMPRES,1.392906080095714,0.1,0.5165562913907285,8,70,37,36,0.4388275276125743,0.250003295966444,0.6931538184240211
16,16,Atezo,KIRC,LR,IMPRES,1.4010134371514549,0.1,0.5099337748344371,7,70,37,37,0.44031435853865764,0.2501199729140318,0.6933876755516702
17,17,Atezo,KIRC,LR,IMPRES,1.3931281459566862,0.1,0.46357615894039733,36,34,73,8,0.5279311809685641,0.2501491973288973,0.6934455459020415
18,18,Atezo,KIRC,LR,IMPRES,1.3932070354814514,0.1,0.4768211920529801,36,36,71,8,0.5277187765505523,0.24985486638953225,0.692856563370445
19,19,Atezo,KIRC,LR,IMPRES,1.3919447822329527,0.1,0.45695364238410596,36,33,74,8,0.5267629566694987,0.25011695710211035,0.6933810644189309
20,20,Atezo,KIRC,LR,IMPRES,1.4089989321752574,0.1,0.5364238410596026,14,67,40,30,0.5093457943925234,0.24934188625096704,0.6918296285880379
21,21,Atezo,KIRC,LR,IMPRES,1.390056671434988,0.1,0.4503311258278146,30,38,69,14,0.4487043330501274,0.2504884133806708,0.694124147503244
22,22,Atezo,KIRC,LR,IMPRES,1.387851580558182,0.1,0.5562913907284768,14,70,37,30,0.5351529311809685,0.24870164486195293,0.6905502802585906
23,23,Atezo,KIRC,LR,IMPRES,1.3960612704057342,0.1,0.543046357615894,15,67,40,29,0.5244265080713679,0.2492537792084447,0.6916542573186695
24,24,Atezo,KIRC,LR,IMPRES,1.386298206797239,0.1,0.5364238410596026,8,73,34,36,0.45635089209855567,0.24999851575121398,0.6931442120632132
25,25,Atezo,KIRC,LR,IMPRES,1.3868742161136054,0.1,0.5298013245033113,8,72,35,36,0.4510407816482582,0.2501023653970898,0.693351914016611
26,26,Atezo,KIRC,LR,IMPRES,1.3863814799959033,0.1,0.4304635761589404,27,38,69,17,0.45199660152931187,0.25006013697373053,0.6932674548552374
27,27,Atezo,KIRC,LR,IMPRES,1.3984866116838983,0.1,0.543046357615894,14,68,39,30,0.5208156329651656,0.2490367648988987,0.6912200564017527
28,28,Atezo,KIRC,LR,IMPRES,1.3878984813306783,0.1,0.543046357615894,15,67,40,29,0.5333474936278675,0.2497803772099447,0.6927078982679163
29,29,Atezo,KIRC,LR,IMPRES,1.3959944057817157,0.1,0.5165562913907285,7,71,36,37,0.44063296516567546,0.250180377490129,0.6935081373052264
30,30,Atezo,KIRC,LR,IMPRES,1.4039715683061587,0.1,0.5364238410596026,15,66,41,29,0.5149745114698385,0.249897790585093,0.692942470364172
31,31,Atezo,KIRC,LR,IMPRES,1.3863089727758129,0.1,0.5629139072847682,15,70,37,29,0.5425870858113849,0.2499424251084444,0.6930320307279509
