Run_ID,Response
AU565_BREAST,1
BT20_BREAST,0
BT474_BREAST,1
BT549_BREAST,0
CAL120_BREAST,0
CAL148_BREAST,0
CAL51_BREAST,0
CAL851_BREAST,1
CAMA1_BREAST,0
EFM192A_BREAST,0
HCC1143_BREAST,0
HCC1395_BREAST,0
HCC1419_BREAST,0
HCC1428_BREAST,0
HCC1500_BREAST,0
HCC1806_BREAST,1
HCC1937_BREAST,0
HCC1954_BREAST,1
HCC202_BREAST,0
HCC2218_BREAST,0
HDQP1_BREAST,1
HMC18_BREAST,0
HS578T_BREAST,0
JIMT1_BREAST,0
KPL1_BREAST,0
MCF7_BREAST,0
MDAMB157_BREAST,0
MDAMB231_BREAST,0
MDAMB361_BREAST,0
MDAMB453_BREAST,0
MDAMB468_BREAST,1
SKBR3_BREAST,1
T47D_BREAST,0
ZR751_BREAST,0
ZR7530_BREAST,1
