,iter,drug,tissue,model,penalty,preproc,balance_weights,feature,feat_dim,acc,tp,tn,fp,fn,roc_auc,brier,log_loss
0,0,Pembro,STAD,LR,0.01,standardize,True,TARGET,1,0.5555555555555556,2,3,4,0,1.0,0.24252629058747915,0.6781916155519484
1,1,Pembro,STAD,LR,0.01,standardize,True,TARGET,1,0.6666666666666666,1,5,2,1,0.7857142857142857,0.24508223390944897,0.6833068501097554
2,2,Pembro,STAD,LR,0.01,standardize,True,TARGET,1,0.6666666666666666,1,5,2,1,0.5,0.2420016850125406,0.6771377555874601
3,3,Pembro,STAD,LR,0.01,standardize,True,TARGET,1,0.5555555555555556,0,5,2,2,0.35714285714285715,0.24112972303604494,0.6753880403982578
4,4,Pembro,STAD,LR,0.01,standardize,True,TARGET,1,0.5555555555555556,2,3,4,0,0.8571428571428572,0.243920494428087,0.6809833447789058
5,5,Pembro,STAD,LR,0.01,standardize,True,TARGET,1,0.7777777777777778,2,5,2,0,0.9285714285714286,0.24144218337446988,0.6760244245044635
6,6,Pembro,STAD,LR,0.01,standardize,True,TARGET,1,0.5555555555555556,0,5,2,2,0.7142857142857143,0.24037571546662473,0.6738775907088905
7,7,Pembro,STAD,LR,0.01,standardize,True,TARGET,1,0.3333333333333333,0,3,4,2,0.2142857142857143,0.2498177951034713,0.6927843667157424
8,8,Pembro,STAD,LR,0.01,standardize,True,TARGET,1,0.6666666666666666,1,5,2,1,0.6428571428571428,0.24216451197663824,0.6774623617815047
9,9,Pembro,STAD,LR,0.01,standardize,True,TARGET,1,0.5555555555555556,1,4,3,1,0.7857142857142857,0.2432825819200879,0.6797024731016341
10,0,Pembro,STAD,LR,0.01,standardize,False,TARGET,1,0.7777777777777778,0,7,0,2,0.4285714285714286,0.17640182097434223,0.5390389937528423
11,1,Pembro,STAD,LR,0.01,standardize,False,TARGET,1,0.7777777777777778,0,7,0,2,0.7142857142857143,0.17374815328466586,0.5323141639083219
12,2,Pembro,STAD,LR,0.01,standardize,False,TARGET,1,0.7777777777777778,0,7,0,2,1.0,0.17126000603044408,0.5262752773493945
13,3,Pembro,STAD,LR,0.01,standardize,False,TARGET,1,0.7777777777777778,0,7,0,2,0.7142857142857142,0.17278726504867384,0.5297281249885063
14,4,Pembro,STAD,LR,0.01,standardize,False,TARGET,1,0.7777777777777778,0,7,0,2,1.0,0.1710252748214178,0.5255556342103669
15,5,Pembro,STAD,LR,0.01,standardize,False,TARGET,1,0.7777777777777778,0,7,0,2,0.8571428571428572,0.17255106027621364,0.5293182446494427
16,6,Pembro,STAD,LR,0.01,standardize,False,TARGET,1,0.7777777777777778,0,7,0,2,0.8571428571428572,0.17188853917290592,0.5276764215151624
17,7,Pembro,STAD,LR,0.01,standardize,False,TARGET,1,0.7777777777777778,0,7,0,2,0.5714285714285714,0.17351003712491267,0.531761932869995
18,8,Pembro,STAD,LR,0.01,standardize,False,TARGET,1,0.7777777777777778,0,7,0,2,0.7142857142857142,0.17349967910449898,0.531598506983064
19,9,Pembro,STAD,LR,0.01,standardize,False,TARGET,1,0.7777777777777778,0,7,0,2,1.0,0.17060202521009163,0.5246163914193663
20,0,Pembro,STAD,LR,0.01,standardize,True,IMPRES,1,0.5555555555555556,0,5,2,2,0.6428571428571428,0.24693313598756714,0.6870114778466071
21,1,Pembro,STAD,LR,0.01,standardize,True,IMPRES,1,0.6666666666666666,2,4,3,0,0.7142857142857143,0.24865072400575894,0.6904486284771666
22,2,Pembro,STAD,LR,0.01,standardize,True,IMPRES,1,0.5555555555555556,2,3,4,0,0.6428571428571429,0.2505414225188647,0.694230660914434
