,iter,drug,tissue,max_moment,sparsity,weighting,geneset,model,max_scale,edge_weights,acc,bal_acc,roc_auc
45,4,Ipi,ALL,2,sparse,weighted,auslander,LR,3,raw,0.5,0.5,-1
46,4,Ipi,ALL,2,sparse,weighted,auslander,SVC,3,raw,0.625,0.5833333333333333,-1
47,4,Ipi,ALL,2,sparse,weighted,auslander,LR,3,raw,0.375,0.25,-1
48,4,Ipi,ALL,3,sparse,weighted,auslander,SVC,3,raw,0.625,0.4166666666666667,-1
49,4,Ipi,ALL,3,sparse,weighted,auslander,LR,3,raw,0.625,0.4166666666666667,-1
50,4,Ipi,ALL,3,sparse,weighted,auslander,SVC,3,raw,0.625,0.75,-1
51,4,Ipi,ALL,3,sparse,weighted,auslander,LR,3,raw,0.375,0.41666666666666663,-1
52,4,Ipi,ALL,4,sparse,weighted,auslander,SVC,3,raw,0.75,0.5,-1
53,4,Ipi,ALL,4,sparse,weighted,auslander,LR,3,raw,0.625,0.4166666666666667,-1
54,4,Ipi,ALL,4,sparse,weighted,auslander,SVC,3,raw,0.625,0.75,-1
55,4,Ipi,ALL,4,sparse,weighted,auslander,LR,3,raw,0.375,0.5833333333333334,-1
56,4,Ipi,ALL,5,sparse,weighted,auslander,SVC,3,raw,0.75,0.5,-1
57,4,Ipi,ALL,5,sparse,weighted,auslander,LR,3,raw,0.625,0.4166666666666667,-1
58,4,Ipi,ALL,5,sparse,weighted,auslander,SVC,3,raw,0.625,0.75,-1
59,4,Ipi,ALL,5,sparse,weighted,auslander,LR,3,raw,0.375,0.5833333333333334,-1
60,4,Ipi,ALL,1,sparse,weighted,auslander,SVC,4,raw,0.75,0.6666666666666667,-1
61,4,Ipi,ALL,1,sparse,weighted,auslander,LR,4,raw,0.625,0.4166666666666667,-1
62,4,Ipi,ALL,1,sparse,weighted,auslander,SVC,4,raw,0.75,0.6666666666666667,-1
63,4,Ipi,ALL,1,sparse,weighted,auslander,LR,4,raw,0.625,0.4166666666666667,-1
64,4,Ipi,ALL,2,sparse,weighted,auslander,SVC,4,raw,0.625,0.5833333333333333,-1
65,4,Ipi,ALL,2,sparse,weighted,auslander,LR,4,raw,0.75,0.6666666666666667,-1
66,4,Ipi,ALL,2,sparse,weighted,auslander,SVC,4,raw,0.75,0.6666666666666667,-1
67,4,Ipi,ALL,2,sparse,weighted,auslander,LR,4,raw,0.625,0.4166666666666667,-1
68,4,Ipi,ALL,3,sparse,weighted,auslander,SVC,4,raw,0.625,0.4166666666666667,-1
