,iter,drug,tissue,model,feature,BIC,acc,tp,tn,fp,fn,roc_auc,brier,log_loss
0,0,Atezo,BLCA,LR,IMPRES,4.089902139272289,0.5833333333333334,11,24,22,3,0.7158385093167702,0.24535953653537518,0.6838583595284132
1,1,Atezo,BLCA,LR,IMPRES,4.09393331222056,0.5166666666666667,9,22,24,5,0.640527950310559,0.24557771788318894,0.6842883444470377
2,2,Atezo,BLCA,LR,IMPRES,4.095974524025922,0.5,11,19,27,3,0.6164596273291926,0.2476128764295317,0.6883707490592016
3,3,Atezo,BLCA,LR,IMPRES,4.0951107693064905,0.5166666666666667,10,21,25,4,0.6304347826086957,0.24521392114179735,0.683555778455229
4,4,Atezo,BLCA,LR,IMPRES,4.10862760347446,0.43333333333333335,6,20,26,8,0.45652173913043476,0.24742495456573524,0.687940358528442
5,5,Atezo,BLCA,LR,IMPRES,4.107709694810761,0.4166666666666667,8,17,29,6,0.47826086956521735,0.2526052617624744,0.6983804527964981
6,6,Atezo,BLCA,LR,IMPRES,4.104931510737394,0.5166666666666667,8,23,23,6,0.5054347826086956,0.24683556486975394,0.6867799888160543
7,7,Atezo,BLCA,LR,IMPRES,4.092226589093423,0.48333333333333334,9,20,26,5,0.6459627329192547,0.2435943801506473,0.6803095637473798
8,8,Atezo,BLCA,LR,IMPRES,4.095618125091574,0.5166666666666667,9,22,24,5,0.6118012422360248,0.24271749781922797,0.678546473392556
9,9,Atezo,BLCA,LR,IMPRES,4.10348432962141,0.5,9,21,25,5,0.5225155279503106,0.2473891382065735,0.687883262055545
10,10,Atezo,BLCA,LR,IMPRES,4.09953578926679,0.48333333333333334,8,21,25,6,0.5434782608695652,0.24474271900911085,0.6825886039883582
11,11,Atezo,BLCA,LR,IMPRES,4.099612886932752,0.5166666666666667,9,22,24,5,0.5659937888198758,0.24459301840777437,0.6822829167307164
12,12,Atezo,BLCA,LR,IMPRES,4.099186938261282,0.5,9,21,25,5,0.5659937888198758,0.2438646652013863,0.6808022352251797
13,13,Atezo,BLCA,LR,IMPRES,4.107994124366728,0.3333333333333333,8,12,34,6,0.42468944099378886,0.252337588372802,0.6977925938238648
14,14,Atezo,BLCA,LR,IMPRES,4.099502647799841,0.45,11,16,30,3,0.56444099378882,0.25004003072294834,0.6932177414474902
15,15,Atezo,BLCA,LR,IMPRES,4.098179549718698,0.4166666666666667,9,16,30,5,0.5722049689440994,0.24964073731563152,0.6924340878815889
16,16,Atezo,BLCA,LR,IMPRES,4.096750719981505,0.4666666666666667,10,18,28,4,0.6086956521739131,0.24619607061041565,0.6855158569383427
17,17,Atezo,BLCA,LR,IMPRES,4.093632039732465,0.5666666666666667,8,26,20,6,0.6312111801242236,0.24130305977613067,0.67571421875345
18,18,Atezo,BLCA,LR,IMPRES,4.101717906649148,0.5166666666666667,9,22,24,5,0.5504658385093167,0.24813300215499,0.6894196999416063
19,19,Atezo,BLCA,LR,IMPRES,4.096163491764845,0.5166666666666667,8,23,23,6,0.5854037267080745,0.24480253766241986,0.6827221630811888
20,20,Atezo,BLCA,LR,IMPRES,4.0902357086420835,0.5333333333333333,11,21,25,3,0.7259316770186337,0.2451309468186637,0.6834018763476927
21,21,Atezo,BLCA,LR,IMPRES,4.099871839314595,0.4166666666666667,9,16,30,5,0.5427018633540373,0.24846404927123072,0.6900364177096369
22,22,Atezo,BLCA,LR,IMPRES,4.097159835698707,0.43333333333333335,10,16,30,4,0.6118012422360248,0.2480256672903338,0.6891877232295672
23,23,Atezo,BLCA,LR,IMPRES,4.0984234408945674,0.43333333333333335,11,15,31,3,0.5582298136645962,0.25010787112458377,0.6933511492485179
24,24,Atezo,BLCA,LR,IMPRES,4.089065813140627,0.6166666666666667,11,26,20,3,0.7243788819875776,0.24553738376714815,0.6842148824878199
25,25,Atezo,BLCA,LR,IMPRES,4.091831860237284,0.5833333333333334,10,25,21,4,0.6754658385093169,0.2447027126577543,0.6825419770113391
26,26,Atezo,BLCA,LR,IMPRES,4.10235103710012,0.43333333333333335,9,17,29,5,0.5434782608695653,0.25146859018613527,0.696111721242459
27,27,Atezo,BLCA,LR,IMPRES,4.112121891631213,0.4166666666666667,8,17,29,6,0.421583850931677,0.2518483821553596,0.696858152077393
28,28,Atezo,BLCA,LR,IMPRES,4.098140726626239,0.45,9,18,28,5,0.5535714285714286,0.24613108450265442,0.6853584563538607
29,29,Atezo,BLCA,LR,IMPRES,4.092859249728798,0.55,12,21,25,2,0.6715838509316769,0.24638690158123727,0.6859119576232529
30,30,Atezo,BLCA,LR,IMPRES,4.0921664749286215,0.5333333333333333,10,22,24,4,0.6661490683229814,0.24541231050735104,0.6839586246936986
31,31,Atezo,BLCA,LR,IMPRES,4.098689161303565,0.36666666666666664,7,15,31,7,0.5279503105590062,0.24643094321381281,0.685964931323825
32,32,Atezo,BLCA,LR,IMPRES,4.102133408520385,0.4666666666666667,9,19,27,5,0.5434782608695652,0.24678313445689534,0.686700614228461
33,33,Atezo,BLCA,LR,IMPRES,4.094493271075745,0.45,10,17,29,4,0.625,0.24749797998838005,0.6881306979150865
34,34,Atezo,BLCA,LR,IMPRES,4.108167078930705,0.43333333333333335,8,18,28,6,0.4720496894409938,0.2525469373211096,0.6982991477909538
35,35,Atezo,BLCA,LR,IMPRES,4.090778123880002,0.48333333333333334,11,18,28,3,0.6933229813664595,0.24611076390572567,0.6853601907811722
36,36,Atezo,BLCA,LR,IMPRES,4.098950937762845,0.4,10,14,32,4,0.5419254658385093,0.24923332885360674,0.6916002572433894
37,37,Atezo,BLCA,LR,IMPRES,4.09948917594201,0.48333333333333334,10,19,27,4,0.5760869565217391,0.24620921995744427,0.6855446422850929
38,38,Atezo,BLCA,LR,IMPRES,4.105927280011892,0.4,6,18,28,8,0.4860248447204969,0.24848078246714048,0.6900787120381857
39,39,Atezo,BLCA,LR,IMPRES,4.094658458740866,0.5333333333333333,10,22,24,4,0.6366459627329193,0.24559929333665406,0.6843342634755766
40,40,Atezo,BLCA,LR,IMPRES,4.104171852130701,0.45,7,20,26,7,0.5062111801242235,0.24597352992539168,0.6850048470497501
41,41,Atezo,BLCA,LR,IMPRES,4.0990628158348175,0.5333333333333333,9,23,23,5,0.5753105590062112,0.24332961326006983,0.6797559141138966
42,42,Atezo,BLCA,LR,IMPRES,4.096740218097073,0.55,10,23,23,4,0.626552795031056,0.2477156238291784,0.6885952974328121
43,43,Atezo,BLCA,LR,IMPRES,4.101251022613715,0.4666666666666667,9,19,27,5,0.5427018633540373,0.24867519019070933,0.6905069717269771
44,44,Atezo,BLCA,LR,IMPRES,4.09103390373463,0.5833333333333334,12,23,23,2,0.7072981366459627,0.245456568509575,0.6840546316600956
45,45,Atezo,BLCA,LR,IMPRES,4.096988186257631,0.5,10,20,26,4,0.5916149068322981,0.24857818028363898,0.6903012346921256
46,46,Atezo,BLCA,LR,IMPRES,4.101284356483363,0.4666666666666667,8,20,26,6,0.5279503105590062,0.24638876844501534,0.6859085855185444
